,case_number,country,area,sex,age,time,month,decade
489,2012.12.31,USA,Florida,M,27,afternoon,12,2010
490,2012.12.30,Australia,New South Wales,M,23,afternoon,12,2010
491,2012.12.28,Australia,New South Wales,M,29,morning,12,2010
492,2012.12.25,South Africa,Eastern Cape Province,M,20,unknown,12,2010
493,2012.12.19,Australia,Western Australia,M,32,morning,12,2010
494,2012.12.05,USA,Hawaii,M,60,afternoon,12,2010
495,2012.12.02,Australia,New South Wales,M,31,afternoon,12,2010
496,2012.12.00,New Zealand,South Island,F,25,unknown,12,2010
497,2012.11.30,USA,Hawaii,M,61,morning,11,2010
498,2012.11.27,Australia,Queensland,M,20,afternoon,11,2010
499,2012.11.22,Mexico,Sinaloa,M,32,morning,11,2010
500,2012.11.19,USA,Florida,M,14,afternoon,11,2010
501,2012.11.04.b,USA,Hawaii,M,30,morning,11,2010
502,2012.11.04.a,USA,Hawaii,M,43,morning,11,2010
503,2012.10.30,USA,California,M,25,afternoon,10,2010
504,2012.10.27,USA,Hawaii,F,51,afternoon,10,2010
505,2012.10.23,USA,California,M,39,morning,10,2010
506,2012.10.19,USA,Florida,F,35,unknown,10,2010
507,2012.10.18.b,USA,Florida,M,24,morning,10,2010
508,2012.10.18.a,USA,Hawaii,M,55,morning,10,2010
509,2012.10.16,USA,Florida,M,27,afternoon,10,2010
510,2012.10.11.R,Nigeria,Delta,F,38,unknown,10,2010
511,2012.10.07,USA,California,M,42,evening,10,2010
512,2012.10.02,Australia,Western Australia,M,11,afternoon,10,2010
513,2012.09.25,USA,Florida,M,21,afternoon,09,2010
514,2012.09.24,USA,Florida,M,22,afternoon,09,2010
515,2012.09.16,USA,Florida,M,52,afternoon,09,2010
516,2012.09.10,Tonga,Vava'U,F,29,unknown,09,2010
518,2012.09.08.b,USA,Florida,M,25,afternoon,09,2010
519,2012.09.08.a,USA,Florida,M,27,afternoon,09,2010
520,2012.09.06.b,USA,Florida,M,30,afternoon,09,2010
521,2012.09.06.a,USA,Florida,M,37,morning,09,2010
522,2012.09.04,USA,Florida,M,32,morning,09,2010
523,2012.09.02.b,USA,Florida,F,8,evening,09,2010
525,2012.09.02.a,USA,Florida,F,56,afternoon,09,2010
526,2012.08.31,Scotland,Inner Hebrides,M,53,unknown,08,2010
527,2012.08.28,Australia,Western Australia,M,34,afternoon,08,2010
528,2012.08.26,Brazil,Pernambuco,M,18,afternoon,08,2010
529,2012.08.15,USA,Alabama,M,31,unknown,08,2010
531,2012.08.09,USA,Florida,M,56,afternoon,08,2010
532,2012.08.05,Reunion,Saint Leu,M,39,afternoon,08,2010
533,2012.08.04,French Polynesia,Tuamotus,M,27,unknown,08,2010
534,2012.07.31.b,USA,California,M,17,morning,07,2010
535,2012.07.31.a,Australia,South Australia,M,48,afternoon,07,2010
536,2012.07.30.b,USA,Hawaii,M,44,afternoon,07,2010
537,2012.07.30.a,USA,Massachusetts,M,50,afternoon,07,2010
538,2012.07.24,USA,North Carolina,M,12,morning,07,2010
539,2012.07.23,Reunion,Trois-Bassins,M,22,afternoon,07,2010
540,2012.07.21,Trinidad & Tobago,Trinidad,M,24,unknown,07,2010
541,2012.07.19,Canada,British Colombia,F,23,unknown,07,2010
542,2012.07.14,Australia,Western Australia,M,24,morning,07,2010
543,2012.07.08,USA,North Carolina,F,43,afternoon,07,2010
544,2012.07.07.c,Bahamas,Eleuthera,M,27,unknown,07,2010
545,2012.07.07.b,Australia,Victoria,F,42,afternoon,07,2010
546,2012.07.07.a,USA,California,M,52,morning,07,2010
547,2012.07.06,South Africa,Western Cape Province,M,29,afternoon,07,2010
549,2012.06.26.c,USA,Florida,M,6,evening,06,2010
550,2012.06.26.b,USA,Florida,M,26,afternoon,06,2010
551,2012.06.26.a,USA,Hawaii,F,16,morning,06,2010
552,2012.06.22.b,Australia,Tasmania,M,27,unknown,06,2010
553,2012.06.22.a,USA,Florida,M,12,afternoon,06,2010
554,2012.06.20,Australia,Western Australia,M,62,morning,06,2010
555,2012.06.19,USA,South Carolina,M,16,unknown,06,2010
