,case_number,country,area,sex,age,time,month,decade
1580,2002.12.21,Australia,Queensland,M,26,unknown,12,2000
1581,2002.12.20,Australia,Queensland,M,11,unknown,12,2000
1582,2002.12.16,Australia,Queensland,M,23,night,12,2000
1583,2002.12.01,Brazil,Pernambuco,M,19,unknown,12,2000
1584,2002.11.28.b,Micronesia,Caroline Islands,M,27,afternoon,11,2000
1585,2002.11.28.a,USA,California,M,48,morning,11,2000
1586,2002.11.17,USA,Hawaii,F,34,morning,11,2000
1587,2002.11.14,Turks & Caicos,Caicos Bank,F,41,morning,11,2000
1588,2002.11.11,USA,Florida,M,21,afternoon,11,2000
1589,2002.11.02,USA,Florida,M,16,afternoon,11,2000
1590,2002.11.00.a,French Polynesia,Society Islands,M,52,unknown,11,2000
1591,2002.10.30,USA,Hawaii,F,60,morning,10,2000
1592,2002.10.14,Brazil,Pernambuco,M,36,afternoon,10,2000
1593,2002.10.11,USA,Florida,M,21,evening,10,2000
1594,2002.10.05.b,USA,Florida,M,14,afternoon,10,2000
1595,2002.10.05.a,USA,Florida,M,35,afternoon,10,2000
1596,2002.10.03,USA,Florida,M,18,afternoon,10,2000
1597,2002.09.30,USA,Florida,M,47,afternoon,09,2000
1598,2002.09.29,USA,Florida,M,32,morning,09,2000
1599,2002.09.27.c,USA,Hawaii,M,55,afternoon,09,2000
1600,2002.09.27.b,USA,Florida,M,27,afternoon,09,2000
1601,2002.09.27.a,Tonga,Vava'U,M,27,afternoon,09,2000
1602,2002.09.21.b,USA,Oregon,M,24,unknown,09,2000
1603,2002.09.21.a,USA,California,M,35,morning,09,2000
1604,2002.09.16.b,Brazil,Pernambuco,M,19,afternoon,09,2000
1606,2002.09.13,South Africa,Western Cape Province,M,47,afternoon,09,2000
1607,2002.09.09,USA,Florida,M,20,afternoon,09,2000
1608,2002.09.05,USA,Florida,M,36,afternoon,09,2000
1609,2002.08.28,USA,Hawaii,M,16,afternoon,08,2000
1610,2002.08.17,USA,Alabama,F,29,afternoon,08,2000
1611,2002.08.14,USA,Florida,M,27,afternoon,08,2000
1612,2002.08.11,USA,Florida,M,15,afternoon,08,2000
1613,2002.08.07,USA,Florida,M,15,afternoon,08,2000
1614,2002.08.06.R,United Kingdom,Cheshire,M,30,unknown,08,2000
1615,2002.08.05,USA,North Carolina,M,14,morning,08,2000
1616,2002.07.26,USA,South Carolina,M,13,evening,07,2000
1617,2002.07.20,USA,North Carolina,F,15,afternoon,07,2000
1618,2002.07.10,USA,Florida,M,19,evening,07,2000
1619,2002.07.09.b,USA,Maryland,M,41,night,07,2000
1620,2002.07.09.a,Brazil,Pernambuco,M,22,afternoon,07,2000
1621,2002.07.04,USA,North Carolina,F,9,afternoon,07,2000
1622,2002.06.20.b,Australia,Queensland,M,30,morning,06,2000
1623,2002.06.20.a,USA,Florida,F,11,afternoon,06,2000
1628,2002.06.11.a,USA,Florida,M,28,afternoon,06,2000
1629,2002.06.09.b,USA,Florida,M,50,morning,06,2000
1630,2002.06.09.a,USA,Florida,M,10,afternoon,06,2000
1631,2002.06.03,South Africa,Kwazulu-Natal Between Port Edward And Port St Johns,M,50,unknown,06,2000
1632,2002.05.31.b,USA,California,M,24,afternoon,05,2000
1633,2002.05.31.a,USA,Florida,M,16,afternoon,05,2000
1634,2002.05.22.b,USA,Florida,M,55,afternoon,05,2000
1635,2002.05.22.a,USA,Florida,M,35,morning,05,2000
1636,2002.05.21.R,Costa Rica,Guanacaste,M,27,unknown,05,2000
1637,2002.05.21,Papua New Guinea,Milne Bay Province,M,14,unknown,05,2000
1638,2002.05.13,USA,Florida,M,31,unknown,05,2000
1639,2002.05.10,Brazil,Pernambuco,M,40,afternoon,05,2000
1640,2002.05.07,Australia,Northern Territory,M,20,unknown,05,2000
1641,2002.04.30,Australia,South Australia,M,23,afternoon,04,2000
1642,2002.04.21,Australia,New South Wales,M,52,unknown,04,2000
1643,2002.04.20,USA,Florida,M,34,morning,04,2000
1644,2002.04.18,USA,Florida,M,28,morning,04,2000
1645,2002.04.12,Australia,New South Wales,M,45,evening,04,2000
1646,2002.04.09,Bahamas,Abaco Islands,M,43,morning,04,2000
1647,2002.04.02,USA,Florida,M,41,afternoon,04,2000
1648,2002.04.01,USA,Florida,M,29,morning,04,2000
1649,2002.03.25.b,USA,Hawaii,M,17,afternoon,03,2000
1650,2002.03.25.a,USA,Florida,F,11,morning,03,2000
1651,2002.03.24,Brazil,Pernambuco,M,16,afternoon,03,2000
1652,2002.03.19,USA,Florida,M,20,afternoon,03,2000
1653,2002.03.15.b,USA,Florida,M,39,morning,03,2000
1654,2002.03.15.a,USA,Florida,M,31,morning,03,2000
1655,2002.03.03,New Caledonia,Loyalty Islands,M,44,unknown,03,2000
1657,2002.02.16,Australia,Queensland,M,33,morning,02,2000
1658,2002.02.11,Fiji,Cikobia Island North Of Vanua Levu,M,15,evening,02,2000
1659,2002.02.07,Australia,New South Wales,M,35,evening,02,2000
1660,2002.01.30.b,Australia,New South Wales,M,20,evening,01,2000
1661,2002.01.30.a,Australia,Western Australia,M,32,unknown,01,2000
1662,2002.01.04,South Africa,Kwazulu-Natal,M,16,night,01,2000
1664,2002.01.01.b,South Africa,Kwazulu-Natal,M,26,evening,01,2000
1665,2002.01.01.a,USA,Hawaii,M,35,afternoon,01,2000
1666,2001.12.21,Australia,Western Australia,M,36,morning,12,2000
1667,2001.11.23,Australia,New South Wales,M,49,unknown,11,2000
1669,2001.11.07,Australia,Western Australia,M,27,unknown,11,2000
1670,2001.10.07,South Africa,Kwazulu-Natal,M,27,unknown,10,2000
1671,2001.10.02,Australia,Queensland,F,20,afternoon,10,2000
1672,2001.09.30.b,Mexico,Guerrero,M,26,morning,09,2000
1673,2001.09.30.a,Australia,Queensland,M,31,unknown,09,2000
1674,2001.09.24,USA,Florida,M,21,afternoon,09,2000
1675,2001.09.18,USA,Florida,M,14,afternoon,09,2000
1676,2001.09.16,USA,Florida,M,42,afternoon,09,2000
1677,2001.09.15.b,USA,Florida,M,6,afternoon,09,2000
1678,2001.09.15.a,USA,North Carolina,M,16,afternoon,09,2000
1679,2001.09.13,United Kingdom,Cheshire,M,27,unknown,09,2000
1680,2001.09.08,USA,Florida,M,44,unknown,09,2000
1681,2001.09.07.b,USA,Florida,M,13,evening,09,2000
1682,2001.09.07.a,USA,South Carolina,F,27,unknown,09,2000
1683,2001.09.03.b,USA,North Carolina,M,28,evening,09,2000
1684,2001.09.03.a,USA,North Carolina,F,23,evening,09,2000
1685,2001.09.02,USA,Florida,M,20,afternoon,09,2000
1686,2001.09.01,USA,Virginia,M,10,evening,09,2000
1687,2001.08.31,Bahamas,Abaco Islands,M,44,afternoon,08,2000
1688,2001.08.29,USA,Florida,F,29,afternoon,08,2000
1689,2001.08.27,USA,Florida,M,69,afternoon,08,2000
1690,2001.08.26,USA,Florida,M,18,afternoon,08,2000
1691,2001.08.25,USA,Florida,M,18,afternoon,08,2000
1692,2001.08.22,USA,Florida,M,17,afternoon,08,2000
1693,2001.08.21,USA,Florida,M,27,afternoon,08,2000
1694,2001.08.19.c,USA,Florida,M,32,afternoon,08,2000
1695,2001.08.19.b,USA,Florida,F,17,afternoon,08,2000
1696,2001.08.19.a,USA,Florida,F,17,morning,08,2000
1697,2001.08.18.c,USA,Florida,M,20,afternoon,08,2000
1698,2001.08.18.b,USA,Florida,M,19,afternoon,08,2000
1699,2001.08.18.a,USA,Florida,M,19,morning,08,2000
1700,2001.08.16,Bahamas,Grand Bahama Island,M,43,afternoon,08,2000
1701,2001.08.12,Thailand,Rayong Province,M,21,unknown,08,2000
1702,2001.08.05,USA,South Carolina,F,27,unknown,08,2000
1703,2001.08.04,Bahamas,Grand Bahama Island,M,36,morning,08,2000
1705,2001.07.26,USA,South Carolina,F,27,unknown,07,2000
1706,2001.07.25,USA,Florida,M,27,afternoon,07,2000
1707,2001.07.24,USA,Florida,F,27,unknown,07,2000
1709,2001.07.15.b,USA,Florida,M,48,afternoon,07,2000
1710,2001.07.15.a,USA,Florida,M,18,afternoon,07,2000
1711,2001.07.06.b,Mexico,Baja California,M,42,evening,07,2000
1712,2001.07.06.a,USA,Florida,M,8,evening,07,2000
1714,2001.07.00,USA,Georgia,M,35,evening,07,2000
1715,2001.06.12,USA,Texas,M,14,unknown,06,2000
1716,2001.06.10,USA,California,M,52,morning,06,2000
1717,2001.06.09,Australia,New South Wales,M,75,unknown,06,2000
1718,2001.06.03,USA,South Carolina,F,29,unknown,06,2000
1719,2001.05.29,USA,Texas,M,16,unknown,05,2000
1720,2001.05.23 ,USA,South Carolina,M,11,unknown,05,2000
1721,2001.05.20,USA,South Carolina,M,27,evening,05,2000
1722,2001.05.18,Philippines,Zamboanga Del Sur Province,M,24,unknown,05,2000
1724,2001.05.08,South Africa,Eastern Cape Province,M,26,unknown,05,2000
1725,2001.05.04,Australia,New South Wales,M,35,afternoon,05,2000
1726,2001.05.03,USA,Florida,M,45,evening,05,2000
1727,2001.05.00,Fiji,Taveuni,M,27,unknown,05,2000
1728,2001.04.28,USA,Florida,M,14,afternoon,04,2000
1729,2001.04.13.b,USA,Florida,M,16,morning,04,2000
1730,2001.04.13.a,USA,Florida,M,12,morning,04,2000
1731,2001.04.12.e,USA,Florida,M,30,afternoon,04,2000
1732,2001.04.12.d,USA,Florida,M,38,afternoon,04,2000
1733,2001.04.12.c,USA,Florida,M,21,afternoon,04,2000
1734,2001.04.12.b,USA,Florida,M,12,afternoon,04,2000
1735,2001.04.12.a,USA,Florida,M,22,morning,04,2000
1736,2001.04.11.d,USA,Florida,M,19,morning,04,2000
1737,2001.04.11.c,USA,Florida,M,22,afternoon,04,2000
1738,2001.04.11.a,USA,Hawaii,M,27,morning,04,2000
1740,2001.04.08.b,South Africa,Eastern Cape Province,M,46,morning,04,2000
1741,2001.04.08.a,Australia,New South Wales,M,27,unknown,04,2000
1742,2001.04.05,USA,Florida,M,26,afternoon,04,2000
1743,2001.04.02.b,Brazil,Rio Grande De Norte,F,12,unknown,unknown,2000
1744,2001.04.02.a,Australia,New South Wales,M,40,morning,04,2000
1745,2001.03.23,USA,Hawaii,M,27,afternoon,03,2000
1746,2001.03.09,USA,Florida,M,27,unknown,03,2000
1747,2001.03.08,Brazil,Bahia,M,12,unknown,03,2000
1748,2001.03.03,Brazil,Pernambuco,M,20,unknown,03,2000
1751,2001.02.11,Malaysia,Off The Western Coast Of Peninsular Malaysia,F,27,unknown,02,2000
1752,2001.02.04,Australia,New South Wales,M,40,afternoon,02,2000
1753,2001.01.24.R,Australia,New South Wales,M,35,unknown,01,2000
1754,2001.01.24,Cuba,Holquin Province,F,55,unknown,01,2000
1756,2001.01.09,USA,California,M,27,unknown,01,2000
1757,2001.01.06,New Zealand,North Island,M,27,unknown,01,2000
1758,2000.12.24,Australia,Queensland,M,23,unknown,12,1990
1759,2000.12.12,Fiji,Taveuni,M,47,afternoon,12,1990
1761,2000.12.05,Canada,New Brunswick,M,30,unknown,12,1990
1762,2000.12.03,Australia,Queensland,M,38,morning,12,1990
1763,2000.12.00,New Zealand,Cook Islands,F,27,unknown,12,1990
1764,2000.11.21,Australia,Queensland,M,28,unknown,11,1990
1765,2000.11.20,Australia,South Australia,M,47,unknown,11,1990
1766,2000.11.18,USA,Florida,M,73,afternoon,11,1990
1767,2000.11.10,USA,Florida,F,27,unknown,11,1990
1768,2000.11.06.b,Australia,Western Australia,M,52,morning,11,1990
1769,2000.11.06.a,Australia,Western Australia,M,49,morning,11,1990
1770,2000.11.04,USA,California,M,27,afternoon,11,1990
1772,2000.10.20,USA,Florida,M,23,evening,10,1990
1773,2000.10.18,USA,Hawaii,F,56,morning,10,1990
1774,2000.10.14,USA,Florida,M,69,afternoon,10,1990
1775,2000.10.09,USA,Florida,M,17,morning,10,1990
1776,2000.10.06.b,USA,Florida,M,23,afternoon,10,1990
1777,2000.10.06.a,USA,Florida,M,11,afternoon,10,1990
1778,2000.10.02,USA,North Carolina,M,24,afternoon,10,1990
1779,2000.09.29,USA,California,M,27,morning,09,1990
1780,2000.09.25,Australia,South Australia,M,17,afternoon,09,1990
1781,2000.09.24,Australia,South Australia,M,25,morning,09,1990
1782,2000.09.18,Australia,New South Wales,M,12,unknown,09,1990
1783,2000.09.16.b,Okinawa,Miyako Island,M,31,afternoon,09,1990
1785,2000.09.15,USA,Florida,M,49,evening,09,1990
1786,2000.09.12,USA,Florida,F,26,afternoon,09,1990
1787,2000.09.11,USA,Florida,M,25,afternoon,09,1990
1788,2000.09.10.b,USA,Florida,M,8,afternoon,09,1990
1789,2000.09.10.a,South Africa,Western Cape Province,M,48,morning,09,1990
1791,2000.09.08.b,USA,Florida,M,40,morning,09,1990
1792,2000.09.08.a,Reunion,Saint-Pierre,M,27,evening,09,1990
1794,2000.08.31,USA,Florida,M,47,afternoon,08,1990
1795,2000.08.30,USA,Florida,M,69,afternoon,08,1990
1796,2000.08.27.R,USA,Alaska,M,27,unknown,08,1990
1797,2000.08.21,USA,North Carolina,M,27,unknown,08,1990
1798,2000.08.15,USA,Hawaii,M,53,morning,08,1990
1799,2000.08.13,USA,Florida,M,27,afternoon,08,1990
1800,2000.08.12,USA,Florida,F,44,afternoon,08,1990
1801,2000.08.11,USA,North Carolina,M,27,unknown,08,1990
1802,2000.08.10,USA,Florida,M,22,unknown,08,1990
1804,2000.07.25,USA,Florida,M,5,unknown,07,1990
1805,2000.07.22,USA,Florida,F,45,unknown,07,1990
1806,2000.07.17,USA,North Carolina,M,16,unknown,07,1990
1807,2000.07.16.b,USA,North Carolina,M,14,unknown,07,1990
1808,2000.07.16.a,South Africa,Eastern Cape Province,M,15,unknown,07,1990
1809,2000.07.15.b,South Africa,Eastern Cape Province,M,18,unknown,07,1990
1810,2000.07.15.a,South Africa,Kwazulu-Natal,M,27,evening,07,1990
1811,2000.07.12,Tonga,Minerva Reef,M,69,unknown,07,1990
1812,2000.07.10,USA,Florida,M,13,afternoon,07,1990
1813,2000.07.09,USA,Florida,M,41,evening,07,1990
1814,2000.07.07,USA,Texas,M,5,unknown,07,1990
1815,2000.07.06,USA,North Carolina,F,12,afternoon,07,1990
1816,2000.07.04.b,USA,Florida,F,20,evening,07,1990
1817,2000.07.04.a,USA,Florida,F,55,afternoon,07,1990
1818,2000.07.02.b,USA,Florida,F,13,afternoon,07,1990
1819,2000.07.02.a,USA,Florida,F,19,afternoon,07,1990
1821,2000.06.30,Papua New Guinea,Madang Province,M,27,unknown,06,1990
1822,2000.06.29,New Zealand,North Island,M,27,unknown,06,1990
1823,2000.06.19,USA,Florida,M,52,morning,06,1990
1825,2000.06.10,USA,Texas,M,17,afternoon,06,1990
1826,2000.06.09.b,USA,Alabama,M,55,morning,06,1990
1827,2000.06.09.a,USA,Alabama,M,44,morning,06,1990
1828,2000.06.02,USA,Florida,M,13,afternoon,06,1990
1832,2000.05.07.b,Papua New Guinea,Madang Province,M,9,unknown,05,1990
1833,2000.05.07.a,Papua New Guinea,Madang Province,M,27,unknown,05,1990
1834,2000.04.14,USA,Florida,M,34,morning,04,1990
1835,2000.04.09,USA,Florida,M,27,afternoon,04,1990
1836,2000.03.31,USA,Florida,M,27,unknown,03,1990
1837,2000.03.30,Australia,Queensland,M,26,afternoon,03,1990
1838,2000.03.26,USA,Florida,F,14,morning,03,1990
1839,2000.03.24,USA,Florida,M,37,afternoon,03,1990
1840,2000.03.15,New Caledonia,North Province,M,35,morning,03,1990
1841,2000.03.14,Australia,New South Wales,M,27,evening,03,1990
1844,2000.03.03.R,New Zealand,North Island,M,27,unknown,03,1990
1845,2000.03.02,Australia,New South Wales,M,27,unknown,03,1990
1846,2000.03.00,USA,Louisiana,M,39,afternoon,03,1990
1847,2000.02.21,USA,Florida,M,27,afternoon,02,1990
1848,2000.02.19,South Africa,Western Cape Province,M,27,afternoon,02,1990
1849,2000.02.14,England,Worcestershire,M,27,unknown,02,1990
1850,2000.02.03,New Zealand,South Island,M,12,unknown,02,1990
1851,2000.02.01,Australia,South Australia,M,26,unknown,02,1990
1853,2000.01.05,Thailand,Phang Nga Province,M,35,unknown,01,1990
1854,2000.00.00,USA,Florida,M,27,unknown,unknown,1990
1855,1999.12.31.c,New Zealand,South Island,M,15,unknown,12,1990
1856,1999.12.31.b,New Zealand,South Island,F,13,unknown,12,1990
1857,1999.12.31.a,New Zealand,South Island,F,12,unknown,12,1990
1858,1999.12.26,Brazil,Pernambuco,M,18,unknown,12,1990
1859,1999.12.14,USA,California,M,27,unknown,12,1990
1860,1999.12.06,Brazil,Rio De Janeiro,M,39,morning,12,1990
1861,1999.12.02,USA,Florida,M,35,afternoon,12,1990
1862,1999.11.30,USA,Florida,M,19,afternoon,11,1990
1863,1999.11.23,USA,Hawaii,F,51,afternoon,11,1990
1864,1999.11.15,USA,California,M,27,unknown,11,1990
1865,1999.11.13,South Africa,Kwazulu-Natal,M,35,unknown,11,1990
1866,1999.11.06,Brazil,Rio De Janeiro,M,39,morning,11,1990
1867,1999.11.00.b,Marshall Islands,Alinglaplap Atoll,M,12,unknown,11,1990
1868,1999.11.00.a,Marshall Islands,Alinglaplap Atoll,M,12,unknown,11,1990
1869,1999.10.30.b,USA,Florida,M,45,afternoon,10,1990
1870,1999.10.30.a,USA,Florida,M,13,afternoon,10,1990
1871,1999.10.20,USA,Florida,M,27,afternoon,10,1990
1872,1999.10.01,USA,Hawaii,M,16,evening,10,1990
1873,1999.09.29,USA,Florida,M,22,evening,09,1990
1875,1999.09.16,USA,Florida,F,61,unknown,09,1990
1876,1999.09.10,USA,South Carolina,F,10,afternoon,09,1990
1877,1999.09.05,USA,Florida,M,13,unknown,09,1990
1878,1999.09.04.b,USA,Florida,M,7,unknown,09,1990
1879,1999.09.04.a,USA,Florida,M,39,evening,09,1990
1880,1999.08.26,USA,Florida,M,28,afternoon,08,1990
1881,1999.08.24,USA,North Carolina,M,27,unknown,08,1990
1882,1999.08.23,Marshall Islands,Ralik Chain,M,23,morning,08,1990
1883,1999.08.21,USA,Florida,M,17,evening,08,1990
1884,1999.08.16,USA,South Carolina,M,10,afternoon,08,1990
1885,1999.08.05.a,USA,Florida,M,62,morning,08,1990
1886,1999.08.05,Bahamas,Abaco Islands,M,35,afternoon,08,1990
1887,1999.07.29,South Africa,Western Cape Province,M,42,afternoon,07,1990
1888,1999.07.26,USA,Florida,M,43,evening,07,1990
1889,1999.07.21,USA,Hawaii,M,43,morning,07,1990
1890,1999.07.15,South Africa,Western Cape Province,M,14,morning,07,1990
1891,1999.07.06,USA,South Carolina,M,27,unknown,07,1990
1892,1999.07.04,USA,Florida,F,30,afternoon,07,1990
1893,1999.07.03,South Africa,Eastern Cape Province,M,29,morning,07,1990
1894,1999.06.19,USA,Florida,M,20,unknown,06,1990
1895,1999.06.17,USA,Florida,M,21,morning,06,1990
1896,1999.06.12,USA,Florida,M,41,afternoon,06,1990
1897,1999.06.09,USA,Florida,M,5,afternoon,06,1990
1898,1999.05.29,Australia,South Australia,M,22,afternoon,05,1990
1899,1999.05.01,Brazil,Pernambuco,M,21,afternoon,05,1990
1900,1999.04.22,Mauritius,Grand Baie,F,41,morning,04,1990
1901,1999.04.11,Reunion,L' Etang Salé-Les-Bains,M,52,morning,04,1990
1902,1999.04.01,USA,Florida,M,14,unknown,04,1990
1903,1999.03.18.R,New Zealand,South Island,M,27,unknown,03,1990
1904,1999.03.18.b,Brazil,Rio Grande De Norte,M,27,unknown,03,1990
1905,1999.03.18.a,USA,Hawaii,F,29,evening,03,1990
1906,1999.03.14.b,New Caledonia,Loyalty Islands,M,27,morning,03,1990
1908,1999.03.08,USA,Hawaii,M,18,unknown,03,1990
1909,1999.03.05,USA,Hawaii,F,29,morning,03,1990
1911,1999.02.23,Australia,New South Wales,M,35,evening,02,1990
1912,1999.02.03,USA,Florida,M,25,afternoon,02,1990
1914,1999.01.13,South Africa,Eastern Cape Province,M,27,unknown,01,1990
1916,1999.01.03.R,Australia,Northern Territory,F,37,unknown,01,1990
1918,1999.00.00.b,South Africa,Western Cape Province,M,30,afternoon,unknown,1990
1919,1999.00.00.a,USA,Virginia,M,27,unknown,unknown,1990
1920,1998.12.24,USA,Florida,M,19,morning,12,1990
1921,1998.12.22,Australia,South Australia,F,21,afternoon,12,1990
1922,1998.12.20.R,South Africa,Eastern Cape Province,M,18,afternoon,12,1990
1923,1998.12.18,South Africa,Eastern Cape Province,M,14,unknown,12,1990
1924,1998.12.15,Australia,South Australia,F,21,afternoon,12,1990
1925,1998.11.21,USA,Florida,M,9,afternoon,11,1990
1926,1998.11.14,USA,Florida,M,14,morning,11,1990
1927,1998.11.11,USA,Florida,M,13,afternoon,11,1990
1928,1998.11.05,USA,Oregon,M,32,unknown,11,1990
1929,1998.11.02.b,Japan,Southern Japan,M,52,unknown,11,1990
1930,1998.11.02.a,Brazil,Pernambuco,M,22,afternoon,11,1990
1931,1998.10.24,USA,Florida,F,17,afternoon,10,1990
1932,1998.10.18,South Africa,Eastern Cape Province,M,30,unknown,10,1990
1933,1998.10.10,USA,Florida,M,27,unknown,10,1990
1934,1998.10.04,Brazil,Pernambuco,M,17,unknown,10,1990
1936,1998.10.01.a,USA,Florida,M,28,afternoon,10,1990
1937,1998.09.27,USA,Florida,M,6,unknown,09,1990
1938,1998.09.22,USA,Florida,M,18,afternoon,09,1990
1939,1998.09.16.R,South Africa,Eastern Cape Province,M,27,evening,09,1990
1940,1998.09.14,USA,Florida,M,28,unknown,09,1990
1941,1998.09.00,Senegal,Cap Vert Peninsula,M,25,unknown,09,1990
1942,1998.08.30,USA,Florida,M,26,evening,08,1990
1944,1998.08.26,USA,California,M,16,afternoon,08,1990
1945,1998.08.23.R,USA,Virginia,M,27,unknown,08,1990
1946,1998.08.15,Bahamas,Berry Islands,M,28,afternoon,08,1990
1947,1998.08.13,USA,Florida,M,11,unknown,08,1990
1948,1998.08.12,South Africa,Transvaal,M,27,unknown,08,1990
1949,1998.08.01.b,South Africa,Western Cape Province,M,19,unknown,08,1990
1950,1998.08.01.a,South Africa,Western Cape Province,M,24,afternoon,08,1990
1951,1998.07.26,Brazil,Pernambuco,M,27,afternoon,07,1990
1952,1998.07.25,USA,Florida,M,13,unknown,07,1990
1953,1998.07.06.b,South Africa,Western Cape Province,M,47,unknown,07,1990
1954,1998.07.11,South Africa,Eastern Cape Province,M,16,morning,07,1990
1955,1998.07.06.a,South Africa,Western Cape Province,M,10,unknown,07,1990
1956,1998.06.28.a,Australia,South Australia,M,26,afternoon,06,1990
1957,1998.06.22,South Africa,Eastern Cape Province,M,20,morning,06,1990
1958,1998.06.08,USA,Florida,M,18,evening,06,1990
1959,1998.06.05,South Africa,Eastern Cape Province,M,27,unknown,06,1990
1960,1998.05.30,South Africa,Eastern Cape Province,M,17,unknown,05,1990
1961,1998.05.29.b,South Africa,Eastern Cape Province,M,15,unknown,05,1990
1962,1998.05.29.a,South Africa,Eastern Cape Province,M,16,afternoon,05,1990
1963,1998.05.25,USA,Florida,M,40,morning,05,1990
1964,1998.05.16.c,USA,Florida,F,14,afternoon,05,1990
1965,1998.05.16.b,USA,Florida,M,24,afternoon,05,1990
1966,1998.05.16.a,South Africa,Western Cape Province,M,22,afternoon,05,1990
1967,1998.04.26,Mozambique,Gaza,F,35,afternoon,04,1990
1968,1998.04.21,USA,Oregon,M,50,morning,04,1990
1969,1998.04.17,USA,Florida,M,16,unknown,04,1990
1970,1998.04.01,Brazil,Pernambuco,M,27,unknown,04,1990
1972,1998.03.31,USA,Florida,M,40,afternoon,03,1990
1973,1998.03.15,South Africa,Western Cape Province,M,33,afternoon,03,1990
1974,1998.03.08.a,USA,Florida,M,32,morning,03,1990
1975,1998.02.23,USA,Florida,M,27,morning,02,1990
1976,1998.01.28.R ,Australia,New South Wales,M,31,evening,01,1990
1977,1998.01.28.a,New Caledonia,South Province,M,27,unknown,01,1990
1978,1998.01.25.b,Reunion,Grand'Anse,M,27,afternoon,01,1990
1979,1998.01.25.a,South Africa,Eastern Cape Province,M,21,unknown,01,1990
1980,1998.01.17,Australia,South Australia,M,27,afternoon,01,1990
1981,1998.01.14,Mozambique,Maputo Province,M,23,afternoon,01,1990
1982,1998.00.00.c,South Africa,Eastern Cape Province,M,28,unknown,unknown,1990
1984,1998.00.00.a,USA,Virginia,M,27,unknown,unknown,1990
1985,1997.12.28.b,South Africa,Western Cape Province,M,39,afternoon,12,1990
1986,1997.12.28.a,South Africa,Eastern Cape Province,M,27,unknown,12,1990
1987,1997.12.25.b,USA,Florida,F,29,unknown,12,1990
1988,1997.12.25.a,USA,Florida,M,8,unknown,12,1990
1989,1997.11.09,Australia,Western Australia,M,42,morning,11,1990
1990,1997.11.05.R,USA,Florida,M,32,morning,11,1990
1991,1997.11.05,Australia,New South Wales,M,21,unknown,11,1990
1992,1997.10.28.b,Australia,Western Australia,M,51,unknown,10,1990
1993,1997.10.28.a,USA,Hawaii,M,19,morning,10,1990
1994,1997.10.24,USA,Florida,M,23,afternoon,10,1990
1995,1997.10.21,USA,Florida,M,12,evening,10,1990
1997,1997.10.04,USA,Florida,F,14,morning,10,1990
1998,1997.09.16,Brazil,Pernambuco,M,20,unknown,09,1990
1999,1997.09.09,USA,Florida,M,12,afternoon,09,1990
2001,1997.09.06,USA,Florida,M,20,afternoon,09,1990
2002,1997.08.30,USA,Florida,M,18,afternoon,08,1990
2003,1997.08.27,USA,Florida,M,22,morning,08,1990
2004,1997.08.24,USA,California,M,29,afternoon,08,1990
2005,1997.08.14.b,Mexico,Quintana Roo,M,28,unknown,08,1990
2006,1997.08.14.a,Mexico,Quintana Roo,M,33,unknown,08,1990
2007,1997.08.11.c,USA,Florida,F,12,afternoon,08,1990
2008,1997.08.11.b,Egypt,Red Sea,M,17,unknown,08,1990
2009,1997.08.11.a,Egypt,Red Sea,M,16,unknown,08,1990
2010,1997.08.10,USA,Florida,M,17,morning,08,1990
2011,1997.08.09,USA,Florida,M,27,afternoon,08,1990
2012,1997.08.05,USA,Texas,F,10,unknown,08,1990
2013,1997.08.04,USA,Florida,M,27,unknown,08,1990
2014,1997.08.02.b,USA,Florida,M,17,afternoon,08,1990
2015,1997.08.02.a,USA,Florida,M,19,morning,08,1990
2016,1997.07.27,Australia,Queensland,M,19,afternoon,07,1990
2017,1997.07.21,South Africa,Eastern Cape Province,M,25,afternoon,07,1990
2018,1997.07.17,Brazil,Pernambuco,M,27,unknown,07,1990
2019,1997.07.14,USA,South Carolina,M,50,night,07,1990
2020,1997.07.12,Okinawa,Miyako,M,55,unknown,07,1990
2022,1997.06.24,USA,Hawaii,M,27,evening,06,1990
2023,1997.06.15,Fiji,Taveuni,F,47,afternoon,06,1990
2024,1997.06.09,USA,Florida,M,18,evening,06,1990
2025,1997.06.07,Brazil,Rio De Janeiro,M,27,unknown,06,1990
2026,1997.06.02,USA,Florida,M,33,morning,06,1990
2027,1997.05.31.c,USA,Florida,M,35,morning,05,1990
2028,1997.05.31.b,USA,Florida,M,34,morning,05,1990
2029,1997.05.31.a,USA,Florida,M,12,morning,05,1990
2030,1997.05.26,Bahamas,Abaco Islands,M,54,unknown,05,1990
2031,1997.05.17,Bahamas,Abaco Islands,M,27,morning,05,1990
2032,1997.04.20,Brazil,Rio De Janeiro,M,22,unknown,04,1990
2033,1997.02.28.b,Australia,Queensland,F,21,unknown,02,1990
2034,1997.02.28.a,Australia,Queensland,M,30,afternoon,02,1990
2035,1997.02.21,USA,Hawaii,M,27,unknown,02,1990
2036,1997.02.20,Reunion,L'Etang-Sale,M,27,unknown,02,1990
2037,1997.02.03,Australia,New South Wales,F,49,unknown,02,1990
2038,1997.01.25,Australia,Queensland,M,27,morning,01,1990
2039,1997.01.20,Australia,Western Australia,M,41,evening,01,1990
2042,1996.12.29,Australia,Queensland,M,18,evening,12,1990
