,case_number_id,country,empire,fatal,area,location,activity,injury,type_of_attack
44,2016.06.21.b,USA,UNITED KINGDOM,False,South Carolina,"North Myrtle Beach, Horry County",Floating,Lacerations and punctures to foot,Unprovoked
45,2016.06.21.a,USA,UNITED KINGDOM,False,Florida,"Pelican Beach Park, Satellite Beach, Brevard County",Wading,Injuries to right calf,Unprovoked
46,2016.06.15.b,USA,UNITED KINGDOM,False,Hawaii,"Kalapaki Beach, Kauai",Surfing,Single puncture wound to arm,Unprovoked
47,2016.06.15.a,AUSTRALIA,UNITED KINGDOM,False,Western Australia,Coral Bay,Spearfishing,No injury but shark punctured his wetsuit after he prodded it with his spear PROVOKED INCIDENT,Provoked
48,2016.06.14,USA,UNITED KINGDOM,False,Texas,"Pirates Beach, Galveston",Floating in tube,Injury to lower leg,Unprovoked
49,2016.06.11,USA,UNITED KINGDOM,False,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County",Standing,Laceration to wrist,Unprovoked
50,2016.06.07,USA,UNITED KINGDOM,False,South Carolina,"Folly Beach, Charleston County",Surfing,"No injury, board damaged",Invalid
51,2016.06.05.b,USA,UNITED KINGDOM,False,Florida,"Flagler Beach, Flagler County",Swimming,Leg bitten,Unprovoked
52,2016.06.05.a,AUSTRALIA,UNITED KINGDOM,True,Western Australia,Mindarie,Diving,FATAL,Unprovoked
53,2016.06.04,EGYPT,UNITED KINGDOM,False,Suez,Ain Sokhna,Swimming,"Leg severely bitten, surgically amputated",Unprovoked
54,2016.06.02.b,AUSTRALIA,UNITED KINGDOM,False,New South Wales,Kingscliff,Spearfishing,"No injury, but sharks repeatedly hit their fins and guns",Unprovoked
55,2016.06.02.a,NEW CALEDONIA,FRANCE,False,," C�te-Blanche, Noum�a ",Kite surfing,Laceration to heel,Unprovoked
56,2016.05.31,AUSTRALIA,UNITED KINGDOM,True,Western Australia,"Falcon Beach, Mandurah",Surfing,FATAL,Unprovoked
57,2016.05.29.b,USA,UNITED KINGDOM,False,California,"Corona Del Mar, Newport, Orange County",Swimming,Injuries to arm and shoulder,Unprovoked
58,2016.05.29.a,USA,UNITED KINGDOM,False,Florida,"Neptune, Duval County",Swimming,Injury to posterior right leg,Unprovoked
59,2016.05.22,USA,UNITED KINGDOM,False,Florida,"Vero Beach, Indian River County",Swimming,Puncture wounds to thigh,Unprovoked
60,2016.05.21.b,USA,UNITED KINGDOM,False,Florida,"St. Petersburg, Pinellas County",Swimming,Lacerations and puncture wounds to foot and ankle,Unprovoked
61,2016.05.21.a,USA,UNITED KINGDOM,False,Florida,"Hugenot Beach , Jacksonville, Duval County",Swimming,"Back, arm & hand injured",Unprovoked
62,2016.05.18,USA,UNITED KINGDOM,False,Florida,"Ponte Vedra, St. Johns County",Swimming,Ankle bitten,Unprovoked
63,2016.05.15,USA,UNITED KINGDOM,False,Florida,"Boca Raton, Palm Beach County",Teasing a shark,Arm grabbed PROVOKED INCIDENT,Provoked
64,2016.05.03,USA,UNITED KINGDOM,False,Hawaii,"Wailea Beach, Maui",Floating,Minor lacerations to right shoulder,Unprovoked
65,2016.05.02,NEW ZEALAND,UNITED KINGDOM,False,North Island,Cormandel,Fishing,Foot bitten by landed shark PROVOKED INCIDENT,Provoked
66,2016.04.25,INDONESIA,OTHER,False,Bali,Balian,Surfing,Elbow bitten,Unprovoked
67,2016.04.23,USA,UNITED KINGDOM,False,Florida,"New Smyrna Beach, Volusia County",Surfing,Minor injury to left foot,Unprovoked
68,2016.04.22,SOUTH AFRICA,UNITED KINGDOM,False,Western Cape Province,"Robberg Beach, Plettenberg Bay",Surf-skiing,"No injury, surf-ski bitten",Unprovoked
