,case_number_id,country,empire,fatal,area,location,activity,injury,type_of_attack
915,2009.04.06.b,SOUTH AFRICA,UNITED KINGDOM,True,KwaZulu-Natal,Umtentweni,Swimming,Body not recovered,Invalid
916,2009.04.06.a,USA,UNITED KINGDOM,False,California,San Diego County,Spearfishing,Shark struck him but the diver was not injured,Unprovoked
917,2009.04.03,USA,UNITED KINGDOM,False,Florida,"Sanibel Island, Lee County",Wading,Lacerations to right foot and ankle,Unprovoked
918,2009.03.27,SOUTH AFRICA,UNITED KINGDOM,False,Eastern Cape Province,2-3 km north of Sunday's River mouth,Fishing ,Calf bitten while helping angler measure the shark during fishing competition PROVOKED INCIDENT,Provoked
919,2009.03.21,SOUTH AFRICA,UNITED KINGDOM,True,Eastern Cape Province,"Second Beach, Port St. John's",Surfing,FATAL,Unprovoked
920,2009.03.20,AUSTRALIA,UNITED KINGDOM,False,New South Wales,Blue Bay,Surfing,"Laceration to right foot, puncture wounds to calf",Unprovoked
921,2009.03.19.b,AUSTRALIA,UNITED KINGDOM,False,New South Wales,South Broulee,Surfing,"No injury, shark damaged surfboard",Unprovoked
922,2009.03.19.a,AUSTRALIA,UNITED KINGDOM,False,New South Wales,Bateman's Bay,Surfing,"No injury, shark bit nose of surfboard",Unprovoked
923,2009.03.18.a,USA,UNITED KINGDOM,False,Florida,"Ponce Inlet, Volusia County",Surfing,Minor bite to ankle,Unprovoked
924,2009.03.17.R,MALAYSIA,UNITED KINGDOM,False,Strait of Malacca,Pulau Payar Island,Feeding fish,Minor injury,Unprovoked
925,2009.03.17,USA,UNITED KINGDOM,False,Hawaii,Alenuihaha Channel,Swimming,"Minor injury, bite chest and left calf",Unprovoked
926,2009.03.16.R,AUSTRALIA,UNITED KINGDOM,False,Western Australia,"The Natural Jetty, Rottnest Island",Wading,Thigh bitten when he trod on the shark PROVOKED INCIDENT,Provoked
927,2009.03.06,NEW CALEDONIA,FRANCE,True,South Province,Bourail,Surfing,FATAL,Unprovoked
928,2009.03.02,SOUTH AFRICA,UNITED KINGDOM,False,Western Cape Province,Off Cape Point,Fishing,Lacerations to arm and 2 fingers by hooked shark PROVOKED INCIDENT,Provoked
929,2009.03.01.b,NEW ZEALAND,UNITED KINGDOM,False,North Island,Taranaki,Fishing,"No injury to occupants, shark bit propeller",Boat
930,2009.03.01.a,AUSTRALIA,UNITED KINGDOM,False,New South Wales,Avalon,Surfing,Lacerations to leg,Unprovoked
931,2009.02.22,AUSTRALIA,UNITED KINGDOM,False,Queensland,Batt Reef,Fishing,Severe laceration to finger,Unprovoked
932,2009.02.18,AUSTRALIA,UNITED KINGDOM,False,New South Wales,"Shelly Beach, near Port Macquarie",Surfing,"No injury to surfer, but the nose of his board was broken",Unprovoked
933,2009.02.12,AUSTRALIA,UNITED KINGDOM,False,New South Wales,"Bondi Beach, Sydney",Surfing,Severe injury to hand ,Unprovoked
934,2009.02.11,AUSTRALIA,UNITED KINGDOM,False,New South Wales,"Garden Point, Woolloomooloo Sydney Harbour","Diving, but on the surface when bitten by the shark",Severe injuries to right hand & right thigh. Right hand  surgically amputated & his right leg a week later,Unprovoked
935,2009.02.08,USA,UNITED KINGDOM,True,Puerto Rico,Quebradillas,Air Disaster,It is probable that all 5 passengers died on impact. The body of one was scavenged by a shark,Sea Disaster
936,2009.02.07.b,AUSTRALIA,UNITED KINGDOM,False,New South Wales,Cellito Beach,Surfing,"No injury, surfboard dented",Unprovoked
937,2009.02.07.a,AUSTRALIA,UNITED KINGDOM,False,New South Wales,Sandon,Surfing,"No injury, flung from surfboard by the shark",Unprovoked
938,2009.01.27.R,PORTUGAL,PORTUGAL,False,,Onboard the fishing vessel Nuevo Cedes ,Fishing,Left forearm bitten PROVOKED INCIDENT,Provoked
939,2009.01.26.R,BRAZIL,PORTUGAL,True,,Praia do Olho d'Aqua,,Probable drowning with post-mortem bites,Invalid
940,2009.01.25,CUBA,SPAIN,False,Guantanamo Province,Guantanamo Bay,Spearfishing,Severe lacerations to lower left leg,Unprovoked
941,2009.01.24.c,NEW ZEALAND,UNITED KINGDOM,False,North Island,Alderman Islands,Fishing,"No injury to occupant, shark removed small auxiliary outboard motor",Boat
942,2009.01.24.b,AUSTRALIA,UNITED KINGDOM,False,New South Wales,"Surf Beach, Batemans Bay",Swimming,Hand injured,Unprovoked
943,2009.01.24.a,SOUTH AFRICA,UNITED KINGDOM,True,Eastern Cape Province,"Second Beach, Port St. John's",Swimming,FATAL,Unprovoked
944,2009.01.23,BRAZIL,PORTUGAL,True,Maranh�o,Olho d'�gua ,Swimming,"Drowned, body scavenged by shark",Invalid
945,2009.01.18,AUSTRALIA,UNITED KINGDOM,False,Victoria,Off Tower Hill,Fishing,"No injury to occupants, shark bit propeller",Boat
946,2009.01.16,NEW ZEALAND,UNITED KINGDOM,False,South Island,Karitane Beach,Surfing,"No injury, bumped off board by the shark",Unprovoked
947,2009.01.13.R,SOUTH AFRICA,UNITED KINGDOM,True,Western Cape Province,"Shark Alley, off Gansbaai",,FATAL,Unprovoked
948,2009.01.12,AUSTRALIA,UNITED KINGDOM,False,New South Wales,"Windang,       Lake Illawara",Snorkeling,Puncture wounds to right calf,Unprovoked
949,2009.01.11.b,AUSTRALIA,UNITED KINGDOM,False,Tasmania,Binalong Bay,Surfing,Severe lacerations to right leg,Unprovoked
950,2009.01.11.a,AUSTRALIA,UNITED KINGDOM,False,New South Wales,Fingal Beach,Surfing,Left thigh severely bitten,Unprovoked
951,2009.01.10.R,NEW ZEALAND,UNITED KINGDOM,False,North Island,Hawkes Bay,Fishing,"No injury to occupants, shark hit boat & bit outboard motor",Boat
952,2009.01.10.a,ECUADOR,SPAIN,False,Galapagos Islands,Isla Isabella,Surfing,Right lower leg bitten & defense wounds to hand,Unprovoked
953,2009.01.06,NEW ZEALAND,UNITED KINGDOM,False,North Island,Haumoana ,Swimming,Posterior thigh bitten,Unprovoked
954,2009.01.00,CUBA,SPAIN,False,Guantanamo Province,Guantanamo,Spearfishing,Lacerations to right calf,Unprovoked
955,2008.12.30,AUSTRALIA,UNITED KINGDOM,False,Western Australia,Port Kennedy Beach,Crabbing,"Reports said a shark attacked the dinghy, but Vickery said it did not",Invalid
956,2008.12.27.d,AUSTRALIA,UNITED KINGDOM,False,Tasmania,near Schouten Island,Yacht race,No injury to occupants -  shark became entangled in aft rudder,Boat
957,2008.12.27.c,AUSTRALIA,UNITED KINGDOM,False,New South Wales,Seal Rocks,Boogie Boarding,"No injury, shark tore his swim fin",Unprovoked
958,2008.12.27.b,AUSTRALIA,UNITED KINGDOM,False,New South Wales,"Long Reef, north of Sydney",Kayaking,"No injury, shark struck kayak, catapulting him into the water",Unprovoked
959,2008.12.27.a,AUSTRALIA,UNITED KINGDOM,True,Western Australia,Port Kennedy Beach,Snorkeling,FATAL,Unprovoked
960,2008.12.20,USA,UNITED KINGDOM,False,California,"Dillon Beach, Marin County",Kayaking,"No injury, shark struck paddle",Unprovoked
961,2008.12.14,NEW ZEALAND,UNITED KINGDOM,False,North Island,Maraetai,Fishing,Lacerations to left calf and ankle,Unprovoked
962,2008.12.10,SOUTH AFRICA,UNITED KINGDOM,False,Western Cape Province,Plettenberg Bay,Fishing,"Lacerations to knees, thigh and hip by hooked shark PROVOKED iNCIDENT  ",Provoked
963,2008.12.06,AUSTRALIA,UNITED KINGDOM,False,New South Wales,Mowarry Point,Fishing,Shark bit boats sea anchor,Boat
964,2008.12.00,MOZAMBIQUE,PORTUGAL,True,Inhambane Province,Chidenguele,Spearfishing,FATAL,Unprovoked
965,2008.11.28,EGYPT,UNITED KINGDOM,False,Red Sea,Elphinstone Reef,Scuba diving,Lacerations to fingers,Unprovoked
966,2008.11.25,PHILIPPINES,SPAIN,False,Batanes Provine,Luzon Strait,Sinking of the cargo ship Mark Jason,"Of the 20 crew, 4 were bitten by shark. None of their iinjuries were life-threatening",Sea Disaster
967,2008.11.24,ECUADOR,SPAIN,False,Galapagos Islands,Santa Cruz,,Leg bitten,Unprovoked
968,2008.11.09.b,AUSTRALIA,UNITED KINGDOM,False,South Australia,North Haven,Fishing,"No injury to occupant, shark bit dinghy & motor",Boat
969,2008.11.09.a,TAIWAN,OTHER,True,,50 miles off Kaohsiung,Fishing boat swamped in storm,FATAL,Sea Disaster
970,2008.11.06,PHILIPPINES,SPAIN,True,Luzon,"off Paoay, Ilocos Norte Province",Fishing,Torso & righ arm bitten FATAL,Unprovoked
971,2008.10.22,AUSTRALIA,UNITED KINGDOM,False,New South Wales,"Oceanworld, Manley",Scuba diving,Small laceration to head from captive shark,Provoked
972,2008.10.21,NEW CALEDONIA,FRANCE,False,,,Spearfishing,Legs bitten,Unprovoked
973,2008.10.12,AUSTRALIA,UNITED KINGDOM,False,Northern Territory,Darwin,Fishing,Right leg injured by hook and hooked shark PROVOKED INCIDENT,Provoked
974,2008.10.11,AUSTRALIA,UNITED KINGDOM,False,New South Wales,Lake Macquarie,Surfing,"No injury, board damaged",Unprovoked
975,2008.10.08,USA,UNITED KINGDOM,False,Florida,"Santa Rosa Beach, Walton County",Fishing,Lacerations,Unprovoked
976,2008.10.06,CROATIA,OTHER,False," Split-Dalmatia Count,","Smokvina Bay, Vis Island",Spearfishing,Calf bitten,Unprovoked
977,2008.09.28.b,USA,UNITED KINGDOM,False,Florida,"New Smyrna Beach, Volusia County",Surfing,Small puncture wounds to the heel of left foot,Unprovoked
978,2008.09.28.a,USA,UNITED KINGDOM,False,Florida,Bethune Beach,Surfing,Right foot bitten,Unprovoked
979,2008.09.15,AUSTRALIA,UNITED KINGDOM,False,Northern Territory,Near Croker Island,Swimming,Right hand lacerated by netted shark PROVOKED INCIDENT,Provoked
980,2008.09.14,USA,UNITED KINGDOM,False,Florida,"Ormond-by-the-Sea, Volusia County",Swimming,Lacerations to foot,Unprovoked
981,2008.09.09,USA,UNITED KINGDOM,False,Hawaii,"Ka'a'awa, Oahu",Surfing,Bitten on right thigh & calf,Unprovoked
982,2008.09.08,USA,UNITED KINGDOM,False,California,"Surf Beach, Lompoc, Santa Barbara County",Surfing,"No injury to surfer, board bitten",Unprovoked
983,2008.09.07,AUSTRALIA,UNITED KINGDOM,False,New South Wales,"Clarks Beach, Byron Bay",Surfing,Shark became tangled in his surfboard leash. The surfer was not injured,Unprovoked
984,2008.09.06.b,USA,UNITED KINGDOM,False,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,Minor injury to foot,Unprovoked
985,2008.09.06.a,USA,UNITED KINGDOM,False,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,Minor injury to foot,Unprovoked
986,2008.09.01,USA,UNITED KINGDOM,False,Florida,"New Smyrna Beach, Volusia County",Surfing,Shark bumped right ankle,Unprovoked
987,2008.09.00,USA,UNITED KINGDOM,False,Florida,Hutchinson Island,Surfing,Right hand bitten,Unprovoked
988,2008.08.30.c,AUSTRALIA,UNITED KINGDOM,False,New South Wales,"Tallow Beach, Byron Bay",Surfing,"No injury, bumped off board by the shark",Unprovoked
989,2008.08.30.b,USA,UNITED KINGDOM,True,Hawaii,"McKenzie Beach Park in Pahoa, Hawai'i ",Swimming,Death was probably due to drowning,Invalid
990,2008.08.30.a,UNITED KINGDOM,UNITED KINGDOM,False,North Devon, Lundy Island,Fishing,Wrist bitten by hooked shark PROVOKED INCIDENT,Provoked
991,2008.08.28,USA,UNITED KINGDOM,False,Florida,"New Smyrna Beach, Volusia County",Surfing,Superfical cut to left ankle,Unprovoked
992,2008.08.27,USA,UNITED KINGDOM,False,Florida,"New Smyrna Beach, Volusia County",Surfing,Lacerations to lower left leg,Unprovoked
993,2008.08.24,USA,UNITED KINGDOM,False,Florida,"New Smyrna Beach, Volusia County","Swimming, towing surfboard",Minor injury to left foot,Unprovoked
994,2008.08.22,USA,UNITED KINGDOM,False,North Carolina,"Surf City, Topsail Island, Pender County",Surfing,Calf bitten,Invalid
995,2008.08.20,USA,UNITED KINGDOM,False,Florida,"Sanibel Island, Lee County",Swimming,3 lacerations to forearm,Unprovoked
996,2008.08.18,USA,UNITED KINGDOM,False,South Carolina,"North Myrtle Beach, Horry County",,Minor injuries,Invalid
997,2008.08.16,USA,UNITED KINGDOM,False,US Virgin Islands,Buck Island,Treading water,Severe lacerations to left foot,Unprovoked
998,2008.08.12,USA,UNITED KINGDOM,False,Florida,"New Smyrna Beach, Volusia County",Wading,Puncture wounds & 3-inch laceration to right calf,Unprovoked
999,2008.08.11,USA,UNITED KINGDOM,False,Hawaii,"Ala Moana Beach Park, Oah'u",Diving,"No injury, shark grabbed his bag of fish",Unprovoked
1000,2008.07.30.R,AUSTRALIA,UNITED KINGDOM,False,Victoria,Levys Beach,Surfing,"No injury, surfboard leash severed",Unprovoked
1001,2008.07.30,SOUTH AFRICA,UNITED KINGDOM,False,,,,Lacerations to fingers,Unprovoked
1002,2008.07.27,PANAMA,SPAIN,False,San Carlos,Playa Teta,Swimming or surfing,5 lacerations to left foot,Unprovoked
1003,2008.07.26.b,MEXICO,SPAIN,False,Cabo San Lucas,,Swimming,3 puncture wounds to toe,Unprovoked
1004,2008.07.26.a,USA,UNITED KINGDOM,False,Hawaii,"Honokowai, Maui",Swimming,Minor injury,Unprovoked
1005,2008.07.25.b,USA,UNITED KINGDOM,False,Florida,"New Smyrna Beach, Volusia County",Surfing,Right foot bitten,Unprovoked
1006,2008.07.25.a,USA,UNITED KINGDOM,False,Hawaii,"Lahilahi Point, Oahu",Snorkeling,Forearm bitten ,Unprovoked
1007,2008.07.24.b,USA,UNITED KINGDOM,False,North Carolina,"Surf City, Topsail Island, Pender County",Wading,Minor lacerations to  toe,Unprovoked
1008,2008.07.24.a,USA,UNITED KINGDOM,False,North Carolina,"Topsail Island, Pender County",Wading,Lacerations to dorsum of right foot ,Unprovoked
1009,2008.07.23,USA,UNITED KINGDOM,False,Florida,"New Smyrna Beach, Volusia County",Surfing,Foot bitten after he stepped on the shark PROVOKED INCIDENT,Provoked
1010,2008.07.19,USA,UNITED KINGDOM,False,Florida,"New Smyrna Beach, Volusia County",Wading,Lacerations to lower left leg,Unprovoked
1011,2008.07.18,EGYPT,UNITED KINGDOM,False,,Daedalus Reef,Diving,Leg severed,Unprovoked
1012,2008.07.13,USA,UNITED KINGDOM,False,North Carolina,"Carolina Beach, New Hanover County",Body surfing,"Bruises, abrasions and some spinal and nerve damage when collided with marine animal, possibly a shark or dolphin.",Invalid
1013,2008.07.11,USA,UNITED KINGDOM,False,South Carolina,"Isle of Palms, Charleston County",Surfing,Laceration to foream,Unprovoked
1014,2008.07.09,USA,UNITED KINGDOM,False,North Carolina,"Emerald Isle, Carteret County",Swimming,Lacerations to  right foot,Unprovoked
1015,2008.07.05,USA,UNITED KINGDOM,False,South Carolina,"Litchfield Beach, Georgetown County",,Lacerations to right foot,Unprovoked
1016,2008.07.00,UNITED KINGDOM,UNITED KINGDOM,False,Sussex,"Rock-a-Nore, Hastings",Rowing an inflatable dinghy,Shark leapt into & damaged the dinghy but no injury to occupants,Boat
1017,2008.06.28.c,USA,UNITED KINGDOM,True,Hawaii,"Kamilo Point, Hawai'i",Wading,Probable drowning with post-mortem bites,Invalid
1018,2008.06.28.b,BAHAMAS,UNITED KINGDOM,False,Abaco Islands,,Spearfishing,Lacerations to calf,Unprovoked
1019,2008.06.28.a,SOUTH AFRICA,UNITED KINGDOM,False,Western Cape Province,Mossel Bay,Surf skiing ,"No injury, ski bitten",Unprovoked
1020,2008.06.26.R,SOUTH AFRICA,UNITED KINGDOM,False,Western Cape Province,Struis Bay,Spearfishing (free diving),No injury,Unprovoked
1021,2008.06.26.b,USA,UNITED KINGDOM,False,Florida,"New Smyrna Beach, Volusia County",Surfing,Minor laceration to foot,Unprovoked
1022,2008.06.26.a,USA,UNITED KINGDOM,False,South Carolina,"Isle of Palms, Charleston County",Swimming,Lacerations to hand,Unprovoked
1023,2008.06.24,BRAZIL,PORTUGAL,False,Bahia,Guarajuba,Surfing,"No injury, board bitten",Unprovoked
1024,2008.06.21,USA,UNITED KINGDOM,False,California,"West Cove, Catalina Island",Kayaking," No injury. Shark bumped kayak, flinging her into the  water. ",Unprovoked
1025,2008.06.20,USA,UNITED KINGDOM,False,Florida,"Fernandina Beach, Nassau County",Wading,Lacerations to lower right calf,Unprovoked
1026,2008.06.11,BRAZIL,PORTUGAL,False,Pernambuco,"Punta Del Chifre, Olinda",Surfing,Laceration to left leg & foot,Unprovoked
1027,2008.06.07,USA,UNITED KINGDOM,False,Florida,"Cocoa Beach, Brevard  County",Body surfing,Lacerations & abrasions to right hand,Unprovoked
1028,2008.06.02.R,UNITED KINGDOM,UNITED KINGDOM,False,Easter Ross,Balintore Bay,Fishing,No injury to occupants; shark struck their boat,Boat
1029,2008.06.01.b,USA,UNITED KINGDOM,False,South Carolina,Cherry Grove,Body surfing,Foot bitten,Unprovoked
1030,2008.06.01.a,BRAZIL,PORTUGAL,False,Pernambuco,"Piedade, Recife",Swimming,"Hand severed, buttocks bitten",Unprovoked
1031,2008.05.26,USA,UNITED KINGDOM,False,North Carolina,"Hammocks Beach State Park, Bear Island, Onslow County",Surfing,Biceps & lower arm bitten,Unprovoked
1032,2008.05.24.b,BAHAMAS,UNITED KINGDOM,False,Grand Bahama Island,Off West End,Sea Disaster,Boat capsized in squall. 2 bodies scavenged  by sharks,Sea Disaster
1033,2008.05.24.a,MEXICO,SPAIN,False,Guerro,Playa Linda,Surfing,Lacerations to right forearm and hand,Unprovoked
1034,2008.05.23,MEXICO,SPAIN,True,Guerro,Pantla Beach,Surfing,FATAL,Unprovoked
1035,2008.05.14,FIJI,UNITED KINGDOM,True,Yasawa Islands,Turtle Island,Night diving,FATAL,Unprovoked
1036,2008.05.10,AUSTRALIA,UNITED KINGDOM,False,Western Australia,Albany,Swimming,Severe lacerations to left leg,Unprovoked
1037,2008.05.07.b,NEW CALEDONIA,FRANCE,False,North Province,Hiengh�ne,Fishing,Lower legs bitten,Unprovoked
1038,2008.05.07.a,USA,UNITED KINGDOM,False,Florida,"New Smyrna Beach, Volusia County",Wading,2 inch laceration to left lower calf.,Unprovoked
1039,2008.05.01,SOUTH AFRICA,UNITED KINGDOM,False,,,Fishing,Leg bitten by shark taken aboard Japanese trawler PROVOKED INCIDENT,Provoked
1040,2008.04.28.b,MEXICO,SPAIN,True,Guerro,Troncones Beach,Surfing,FATAL    Severe bite to right thigh,Unprovoked
1041,2008.04.28.a,USA,UNITED KINGDOM,False,Florida,"New Smyrna Beach, Volusia County",Surfing,3-inch laceration to dorsal surface of left foot,Unprovoked
1042,2008.04.27,USA,UNITED KINGDOM,False,Florida,"New Smyrna Beach, Volusia County",Surfing,Calf bitten,Unprovoked
1043,2008.04.26.b,NEW CALEDONIA,FRANCE,False,North Province,Poindimi�,Swimming,Lacerations to left foot,Unprovoked
1044,2008.04.26.a,USA,UNITED KINGDOM,False,Florida,"New Smyrna Beach, Volusia County",Surfing,Puncture wounds to right foot                  PROVOKED INCIDENT,Provoked
1045,2008.04.25,USA,UNITED KINGDOM,True,California,"Solana Beach, San Diego County",Swimming,FATAL,Unprovoked
1046,2008.04.20.b,USA,UNITED KINGDOM,False,Florida,"New Smyrna Beach, Volusia County",Surfing,Cuts & punctures to right foot,Unprovoked
1048,2008.04.19.R,SOUTH AFRICA,UNITED KINGDOM,False,KwaZulu-Natal,Aliwal Shoal,Free-diving,"As he pushd the shark away from his camera, his finger was cut on a tooth",Invalid
1049,2008.04.18,MEXICO,SPAIN,True,Quintana Roo,"Delfines Beach, Cancun",Swimming,Probable drowning with post-mortem bites,Invalid
1050,2008.04.17,AUSTRALIA,UNITED KINGDOM,False,Queensland,"Duranbah, Greenmount Beach",Surfing,2 puncture wounds to leg,Invalid
1051,2008.04.15,USA,UNITED KINGDOM,False,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County",Surfing,Puncture wounds to right foot,Unprovoked
1052,2008.03.28.a,USA,UNITED KINGDOM,False,Florida,"Near Cocoa Beach, Brevard  County",Boogie Boarding,Right foot bitten,Unprovoked
1053,2008.04.09.R,FIJI,UNITED KINGDOM,False,,,Spearfishing,Left forearm bitten ,Unprovoked
1054,2008.04.08.R,USA,UNITED KINGDOM,False,Florida,"1.4 miles south of Ponce de Leon Jetty, New Smyrna Beach, Volusia County",Surfing,Foot bitten,Unprovoked
1055,2008.04.08,AUSTRALIA,UNITED KINGDOM,True,New South Wales,"Lighthouse Beach, Ballina",Body boarding,FATAL,Unprovoked
1056,2008.04.03,USA,UNITED KINGDOM,False,Florida,"South of Ponce de Leon Jetty, New Smyrna Beach, Volusia County",Walking out of the water after surfing,Right foot & ankle bitten,Unprovoked
1057,2008.03.28.c,SOUTH AFRICA,UNITED KINGDOM,False,KwaZulu-Natal,Scottburgh,Fishing from surfski,Right leg bitten,Unprovoked
1058,2008.03.28.b,USA,UNITED KINGDOM,False,Florida,"New Smyrna Beach / Ponce Inlet, Volusia County",Surfing,Foot bitten,Unprovoked
1059,2008.03.25,USA,UNITED KINGDOM,False,Florida,"Palm Beach Shores, Palm Beach County",Wading,Shin bitten,Unprovoked
1060,2008.03.23,USA,UNITED KINGDOM,False,Florida,"South of Ponce de Leon Jetty, New Smyrna Beach, Volusia County",Walking out of the water after surfing,Three small lacerations/ punctures to right foot,Unprovoked
1061,2008.03.21,USA,UNITED KINGDOM,False,Florida,"Beachway Avenue Approach, New Smyrna Beach, Volusia County",Wading,Two 3-inch lacerations to right ankle,Unprovoked
1062,2008.03.15,USA,UNITED KINGDOM,False,Florida,"Lovers Key State Park, Bonita Springs, Lee County",Jet skiing,Minor injury,Unprovoked
1063,2008.03.07,USA,UNITED KINGDOM,False,California," Huntington Beach, Orange County",Surfing,"No injury to surfer, surfboard bitten by the shark",Unprovoked
1064,2008.02.24,BAHAMAS,UNITED KINGDOM,True,Northern Bahamas,"Dive site known as ""The End of the Map""",Diving,"Leg bitten, FATAL",Unprovoked
1065,2008.02.21.R,FRENCH POLYNESIA,FRANCE,False,Society Islands,Tahiti,Spearfishing,Lacerations to face,Unprovoked
1066,2008.02.15,USA,UNITED KINGDOM,False,Florida,"Ponce Inlet, Volusia County",Surfing,Lacerations to foot,Unprovoked
1067,2008.02.07,AUSTRALIA,UNITED KINGDOM,False,New South Wales,Horseshoe Bay,Surfing,Abrasions to elbow; collided with shark,Unprovoked
1068,2008.02.06,USA,UNITED KINGDOM,False,Florida,"Opposite Patrick Air Force Base, Brevard County",Surf-skiing,Lacerations to foot,Unprovoked
1069,2008.01.29,SOUTH AFRICA,UNITED KINGDOM,False,KwaZulu-Natal,"Suncoast Pirates Beach, Durban",Surf-skiing,"No injury to surf-skiier, shark holed ski",Unprovoked
1070,2008.01.27,AUSTRALIA,UNITED KINGDOM,False,Queensland,200 km east of Coolangatta  ,Accidentally stood on hooked shark's tail before attempting to gut it ,Laceration to left knee PROVOKED INCIDENT,Provoked
1071,2008.01.19.R,NEW ZEALAND,UNITED KINGDOM,False,South Island,Marfells Beach,Wading,"Stingray envenomation, not a shark",Invalid
1072,2008.01.14,NEW ZEALAND,UNITED KINGDOM,False,North Island,Omaha Beach,Attempting to chase shark out to sea,"No injury to occupants, pontoon punctured",Boat
1073,2008.01.10,USA,UNITED KINGDOM,False,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County",Surfing,Left foot bitten,Unprovoked
1074,2008.00.00.b,USA,UNITED KINGDOM,False,Florida,"Off Fort Pierce, St. Lucie County",Fishing for snapper,Minor injury to hand by hooked shark   PROVOKED INCIDENT,Provoked
1075,2008.00.00.a,MEXICO,SPAIN,False,Baja California,Playas de Tijuana,Surfing,Leg bitten,Unprovoked
1076,2007.12.21,ECUADOR,SPAIN,False,Galapagos Islands,San Cristobal Island,Surfing,Lacerations & puncture wounds  to left thigh,Unprovoked
1077,2007.12.19,UNITED KINGDOM,UNITED KINGDOM,True,Green Bay,,Scuba diving,Shark bites were post-mortem,Invalid
1078,2007.12.18,AUSTRALIA,UNITED KINGDOM,False,New South Wales,Jimmy's Beach,Surfing,Severe lacerations to right buttock,Unprovoked
1079,2007.12.15,AUSTRALIA,UNITED KINGDOM,False,Queensland,South Stradbroke Island,Swimming,Lacerations to hand,Unprovoked
1080,2007.12.14,AUSTRALIA,UNITED KINGDOM,False,New South Wales,Bondi ,Swimming,Lacerations to left forearm,Invalid
1081,2007.12.10,USA,UNITED KINGDOM,False,Hawaii,"Waialua Bay, O'ahu",Surfing,"No injury, shark bit surfboard ",Unprovoked
1082,2007.12.09,NEW ZEALAND,UNITED KINGDOM,False,South Island,Kaikoura,Surfing,"No injury, shark bit surfboard & severed leash",Unprovoked
1083,2007.12.07,BRAZIL,PORTUGAL,False,Pernambuco,Itamarac�,Removing fish from a trap,20 cm injury to left foot,Unprovoked
1084,2007.11.18,AUSTRALIA,UNITED KINGDOM,False,Western Australia,In a tidal creek    5 km from Wickham,Fishing,Minor injury to finger by netted shark PROVOKED INCIDENT,Provoked
1085,2007.11.08,AUSTRALIA,UNITED KINGDOM,False,New South Wales,"Wategos Beach, Byon Bay",Surfing,"No injury, teethmarks in board & torn wetsuit",Unprovoked
1086,2007.11.07,SOUTH AFRICA,UNITED KINGDOM,False,Western Cape Province,The Strand,Surfing,Lacerations to feet,Unprovoked
1087,2007.11.06,USA,UNITED KINGDOM,False,Florida,"New Smyrna Beach, Volusia County",Surfing,Cut to right knee,Unprovoked
1088,2007.11.04,USA,UNITED KINGDOM,False,Florida,"Round Island Park, Indian River County",Surfing,Lacerations to right leg,Unprovoked
1089,2007.11.03,SOUTH AFRICA,UNITED KINGDOM,False,Eastern Cape Province,Bonza Bay,Surfing,Lacerations to thigh,Unprovoked
1090,2007.11.00,MEXICO,SPAIN,False,Baja California,Guadalupe Island,Shark diving,White shark breached cage. No injury to occupants,Invalid
1091,2007.10.29,USA,UNITED KINGDOM,False,Hawaii,"Wailea, Maui",Floating,Lacerations to left lower leg,Unprovoked
1092,2007.10.15,AUSTRALIA,UNITED KINGDOM,False,New South Wales,Byron Bay,Surf-skiing,small laceration to wrist,Unprovoked
1093,2007.10.13,AUSTRALIA,UNITED KINGDOM,False,Queensland,Holmes Reef,Spearfishing,Laceration to calf,Unprovoked
1094,2007.10.07,USA,UNITED KINGDOM,False,California,"Venice Pier, Venice, Los Angeles County",Surfing,4 scratches on left hand,Unprovoked
1095,2007.10.06,USA,UNITED KINGDOM,False,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County",Surfing,Severe lacerations to right hand,Unprovoked
1096,2007.09.30.c,USA,UNITED KINGDOM,False,California,"Santa Monica, Los Angeles County",Surfing,Puncture wound to foot,Unprovoked
1097,2007.09.30.b,PHILIPPINES,SPAIN,True,Palawan,Off Cagayancillo,"The 426-ton cargo ship Mia, laden with cement, capsized in heavy seas ","FATAL        Only 4 of the 18 on board were rescued, some of the missing were allegedly killed by sharks",Sea Disaster
1098,2007.09.30.a,NEW CALEDONIA,FRANCE,True,Loyalty Islands,"Bay of Luengoni, Lifou Island",Swimming,FATAL,Unprovoked
1099,2007.09.28,BAHAMAS,UNITED KINGDOM,False,Grand Bahama Island,Sweetings Cay,Spearfishing,Thigh bitten,Unprovoked
1100,2007.09.27.b,USA,UNITED KINGDOM,False,California,"Moonstone Beach, Humboldt County",Surfing,"No injury to surfer, surfboard bitten",Unprovoked
1101,2007.09.27.a,EGYPT,UNITED KINGDOM,False,Red Sea,Daedalus Reef�,Swimming,"Severe lacerations to lower left leg, ankle and foot",Unprovoked
1102,2007.09.22.b,USA,UNITED KINGDOM,True,Florida,Jupiter Inlet,Scuba diving,Shark involvement prior to death unconfirmed,Invalid
1103,2007.09.22.a,USA,UNITED KINGDOM,False,Florida,Huguenot Park,Surfing,Laceration to foot,Unprovoked
