,Case Number,Date,Year,Type,Country,Area,Location,Activity,Fatal (Y/N),original order
1889,1999.07.21,21-Jul-99,1999,Unprovoked,USA,Hawaii,Honoli'i in Hilo (west side of Big Island),Surfing,N,4104
1893,1999.07.03,03-Jul-99,1999,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Cintsa East, East London",Surfing,N,4100
1895,1999.06.17,17-Jun-99,1999,Unprovoked,USA,Florida,"South of Ponce Inlet, Volusia County",Surfing,N,4098
1899,1999.05.01,01-May-99,1999,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",Surfing,N,4094
1902,1999.04.01,01-Apr-99,1999,Unprovoked,USA,Florida,"Hobe Sound Beach, Palm Beach County",Surfing,N,4091
1911,1999.02.23,23-Feb-99,1999,Unprovoked,AUSTRALIA,New South Wales,Scotts Head,Surfing,N,4082
1912,1999.02.03,03-Feb-99,1999,Unprovoked,USA,Florida,"Hobe Sound, Martin County",Surfing,N,4081
1920,1998.12.24,24-Dec-98,1998,Provoked,USA,Florida,"Ormond Beach, Volusia County",Surfing,N,4073
1922,1998.12.20.R,Reported 20-Dec-1998,1998,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"King's Beach, Port Elizabeth",Surfing,N,4071
1924,1998.12.15,15-Dec-98,1998,Unprovoked,AUSTRALIA,South Australia,Middleton Beach,Surfing,N,4069
1926,1998.11.14,14-Nov-98,1998,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,4067
1928,1998.11.05,05-Nov-98,1998,Unprovoked,USA,Oregon,Winchester Bay,Surfing,N,4065
1930,1998.11.02.a,02-Nov-98,1998,Unprovoked,BRAZIL,Pernambuco," Boa Viagem Beach, Recife",Surfing,Y,4063
1932,1998.10.18,18-Oct-98,1998,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Glengariff,Surfing,N,4061
1933,1998.10.10,10-Oct-98,1998,Unprovoked,USA,Florida,"Sebastian Inlet, Indian River County",Surfing,N,4060
1934,1998.10.04,04-Oct-98,1998,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",Surfing,N,4059
1937,1998.09.27,27-Sep-98,1998,Unprovoked,USA,Florida,"The Rocks, Hutchinson Island, Martin County",Surfing,N,4056
1938,1998.09.22,22-Sep-98,1998,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,4055
1940,1998.09.14,14-Sep-98,1998,Unprovoked,USA,Florida,"Stuart Beach, Martin County",Surfing,N,4053
1942,1998.08.30,30-Aug-98,1998,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,N,4051
1951,1998.07.26,26-Jul-98,1998,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem, Recife",Surfing,N,4042
1952,1998.07.25,25-Jul-98,1998,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,4041
1954,1998.07.11,11-Jul-98,1998,Unprovoked,SOUTH AFRICA,Eastern Cape Province,St. Francis Bay,Surfing,N,4039
1955,1998.07.06.a,06-Jul-98,1998,Unprovoked,SOUTH AFRICA,Western Cape Province,Plettenberg Bay,Surfing,N,4038
1958,1998.06.08,08-Jun-98,1998,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Surfing,N,4035
1959,1998.06.05,05-Jun-98,1998,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Jeffrey's Bay,Surfing,N,4034
1960,1998.05.30,30-May-98,1998,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Pollock Beach,Surfing,N,4033
1963,1998.05.25,25-May-98,1998,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,4030
1979,1998.01.25.a,25-Jan-98,1998,Unprovoked,SOUTH AFRICA,Eastern Cape Province,East London,Surfing,N,4014
1980,1998.01.17,17-Jan-98,1998,Unprovoked,AUSTRALIA,South Australia,Middleton Beach,Surfing,N,4013
1981,1998.01.14,14-Jan-98,1998,Unprovoked,MOZAMBIQUE,Maputo Province,Ponta do Ouro,Surfing,N,4012
1982,1998.00.00.c,1998,1998,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Hole-in-the Wall,Surfing,Y,4011
1994,1997.10.24,24-Oct-97,1997,Unprovoked,USA,Florida,"North Jetty, Fort Pierce Inlet State Park, St. Lucie County",Surfing,N,3999
1995,1997.10.21,21-Oct-97,1997,Unprovoked,USA,Florida,"North Jetty, Fort Pierce Inlet State Park, St. Lucie County",Surfing,N,3998
1999,1997.09.09,09-Sep-97,1997,Unprovoked,USA,Florida,Volusia County  ,Surfing,N,3994
2000,1997.09.08,08-Sep-97,1997,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,3993
2001,1997.09.06,06-Sep-97,1997,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,3992
2002,1997.08.30,30-Aug-97,1997,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,3991
2011,1997.08.09,09-Aug-97,1997,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,3982
2016,1997.07.27,27-Jul-97,1997,Unprovoked,AUSTRALIA,Queensland,"Pincushion, north of Maroochydore Beach",Surfing,N,3977
2017,1997.07.21,21-Jul-97,1997,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Breezy Point, Ntlonyana",Surfing,Y,3976
2018,1997.07.17,17-Jul-97,1997,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem, Recife",Surfing,N,3975
2021,1997.07.02.R, 2-Jul-1997,1997,Unprovoked,BRAZIL,Pernambuco,Paiva,Surfing,N,3972
2024,1997.06.09,09-Jun-97,1997,Unprovoked,USA,Florida, Palm Beach County,Surfing,N,3969
2028,1997.05.31.b,31-May-97,1997,Unprovoked,USA,Florida,"Flagler Beach, Flagler County",Surfing,N,3965
2029,1997.05.31.a,31-May-97,1997,Unprovoked,USA,Florida,"Flagler Beach, Flagler County",Surfing,N,3964
2042,1996.12.29,29-Dec-96,1996,Unprovoked,AUSTRALIA,Queensland,Coolum Beach,Surfing,UNKNOWN,3951
2043,1996.12.10,10-Dec-96,1996,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Duck Pond, Sardina Bay near Port Elizabeth",Surfing,N,3950
2046,1996.11.29.a,29-Nov-96,1996,Unprovoked,USA,California,"Salmon Creek Beach, Sonoma County",Surfing,N,3947
2047,1996.11.18,18-Nov-96,1996,Unprovoked,USA,Florida,"Coral Cove Park, Palm Beach County",Surfing,N,3946
2048,1996.10.28.b,28-Oct-96,1996,Unprovoked,BRAZIL,Pernambuco,Barra de Jangada,Surfing,N,3945
2049,1996.10.28.a,28-Oct-96,1996,Unprovoked,BRAZIL,Pernambuco,Barra de Jangada,Surfing,N,3944
2051,1996.10.05.,05-Oct-96,1996,Unprovoked,USA,California,"Dillon Beach, Marin County",Surfing,N,3942
2052,1996.10.03.b,03-Oct-96,1996,Unprovoked,USA,Florida,"Cocoa Beach, Brevard County",Surfing,N,3941
2053,1996.10.03.a,03-Oct-96,1996,Unprovoked,USA,California,"North Salmon Creek Beach, Sonoma County",Surfing,N,3940
2075,1996.06.06,06-Jun-96,1996,Unprovoked,AUSTRALIA,Victoria,"Suicide Point, Point Leo",Surfing,N,3918
2076,1996.06.04,04-Jun-96,1996,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,LaMercy,Surfing,N,3917
2077,1996.05.28,28-May-96,1996,Unprovoked,SOUTH AFRICA,Western Cape Province,"The Steps, Wilderness",Surfing,N,3916
2079,1996.05.18,18-May-96,1996,Unprovoked,USA,Florida,"South of Ponce Inlet, Volusia County",Surfing,N,3914
2081,1996.05.07,07-May-96,1996,Unprovoked,USA,Florida,"Shark Shallows, Ponce Inlet, Volusia County",Surfing,N,3912
2100,1996.01.10,10-Jan-96,1996,Unprovoked,REUNION,Saint-Paul ,Embouchure de l'�tang de Saint Paul,Surfing,Y,3893
2102,1996.00.00.a,1996,1996,Unprovoked,USA,North Carolina,,Surfing,N,3891
2109,1995.10.21,21-Oct-95,1995,Unprovoked,USA,Florida,"North Beach, St. Lucie County",Surfing,N,3884
2111,1995.10.01,01-Oct-95,1995,Unprovoked,USA,Florida,"Ormond Beach, Volusia County",Surfing,N,3882
2112,1995.09.30.b,30-Sep-95,1995,Unprovoked,USA,Florida,"Crescent Beach, St. Augustine, St. Johns County",Surfing,N,3881
2113,1995.09.30.a,30-Sep-95,1995,Unprovoked,USA,Florida,"North Beach, Hutchinson Island, St. Lucie County",Surfing,N,3880
2115,1995.09.19.,19-Sep-95,1995,Unprovoked,USA,Florida,"Matanzas Bay Inlet, St. Johns County",Surfing,N,3878
2122,1995.08.31.b,31-Aug-95,1995,Unprovoked,USA,Florida,"North Beach Inlet, St. Lucie County",Surfing,N,3871
2124,1995.08.27,27-Aug-95,1995,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem, Recife",Surfing,N,3869
2125,1995.08.26/b,26-Aug-95,1995,Unprovoked,USA,Florida,"Crescent Beach, St. Johns County",Surfing,N,3868
2126,1995.08.26.a,26-Aug-95,1995,Unprovoked,USA,Florida,"Ponce de Leon Inlet, Volusia County",Surfing,N,3867
2129,1995.08.22.a,22-Aug-95,1995,Unprovoked,USA,Florida,"Ponce de Leon Inlet, Volusia County",Surfing,N,3864
2134,1995.08.10.b,10-Aug-95,1995,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,N,3859
2139,1995.07.28.e,28-Jul-95,1995,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,3854
2140,1995.07.28.d,28-Jul-95,1995,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,3853
2141,1995.07.28.c,28-Jul-95,1995,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,3852
2146,1984.11.08,08-Nov-84,1984,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Gonubie River Mouth,Surfing,N,3847
2147,1995.07.07,07-Jul-95,1995,Unprovoked,BRAZIL,Pernambuco,Candeias,Surfing,Y,3847
2148,1995.07.06,06-Jul-95,1995,Unprovoked,USA,Texas,Port Aransas,Surfing,N,3846
2154,1995.06.17.b,17-Jun-95,1995,Unprovoked,USA,South Carolina,"Garden City Beach, Horry County",Surfing,N,3840
2161,1995.05.26,26-May-95,1995,Unprovoked,USA,Florida,"Vero Beach, Indian River County",Surfing,N,3833
2170,1995.03.11,11-Mar-95,1995,Unprovoked,AUSTRALIA,South Australia,Cactus Beach,Surfing,N,3824
2175,1995.01.02,02-Jan-95,1995,Unprovoked,BRAZIL,Pernambuco,Piedade,Surfing,N,3819
2182,1994.12.13,13-Dec-94,1994,Unprovoked,BRAZIL,Pernambuco,Piedade,Surfing,N,3812
2183,1994.12.11,11-Dec-94,1994,Unprovoked,BRAZIL,Pernambuco,Paiva,Surfing,N,3811
2187,1994.12.01,01-Dec-94,1994,Unprovoked,BRAZIL,Pernambuco,Paiva,Surfing,Y,3807
2190,1994.11.06.a,06-Nov-94,1994,Unprovoked,USA,Hawaii,"Kealia Beach, Kaua'i",Surfing,N,3804
2191,1994.10.18,18-Oct-94,1994,Unprovoked,BRAZIL,Pernambuco,Piedade,Surfing,N,3803
2192,1994.10.17,17-Oct-94,1994,Unprovoked,BRAZIL,Pernambuco,Piedade,Surfing,N,3802
2194,1994.10.05,05-Oct-94,1994,Unprovoked,USA,Florida,"Indialantic, Brevard County",Surfing,N,3800
2196,1994.09.21,21-Sep-94,1994,Unprovoked,USA,Oregon,"Short Sand Beach, Oswald West State Park",Surfing,N,3798
2200,1994.07.24,24-Jul-94,1994,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem, Recife",Surfing,N,3794
2203,1994.07.09.b,09-Jul-94,1994,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon Beach, East London",Surfing,Y,3791
2204,1994.07.09.a,09-Jul-94,1994,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon Beach, East London",Surfing,N,3790
2205,1994.07.08.b,08-Jul-94,1994,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem, Recife",Surfing,N,3789
2206,1994.07.08.a,08-Jul-94,1994,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,3788
2208,1994.05.31.b,31-May-94,1994,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,N,3786
2209,1994.05.31.a,31-May-94,1994,Unprovoked,USA,Florida," Daytona Beach, Volusia County",Surfing,N,3785
2213,1994.05.15,15-May-94,1994,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,3781
2222,1994.03.01,01-Mar-94,1994,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem, Recife",Surfing,N,3772
2224,1994.02.19,19-Feb-94,1994,Unprovoked,USA,Florida,"Juno Beach, Palm Beach County",Surfing,N,3770
2226,1994.02.12,12-Feb-94,1994,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Beachview Holiday Resort,Surfing,N,3768
2229,1994.01.31.a,31-Jan-94,1994,Unprovoked,USA,Hawaii,"Velzyland, north shore of O'ahu",Surfing,Y,3765
2235,1994.00.00.a,1994,1994,Unprovoked,USA,Florida,"Flagler Beach, Flagler County",Surfing,N,3759
2236,1993.12.00,Dec-93,1993,Unprovoked,USA,Hawaii,Waipo,Surfing,Y,3758
2241,1993.10.30,30-Oct-93,1993,Unprovoked,USA,California,"""Bunkers"" Eureka, Humboldt County",Surfing,N,3753
2244,1993.10.00,Oct-93,1993,Unprovoked,USA,Hawaii,"Mouth of Wallua River, Kaua'i",Surfing,N,3750
2247,1993.09.16.b,16-Sep-93,1993,Unprovoked,EL SALVADOR,La Libertad,near El Cocal Beach,Surfing,N,3747
2248,1993.09.16.a,16-Sep-93,1993,Unprovoked,EL SALVADOR,La Libertad,El Cocal Beach,Surfing,Y,3746
2253,1993.08.19.R,Reported      19-Aug-1993,1993,Unprovoked,USA,Florida,"Bethune Beach, Volusia County",Surfing,N,3741
2261,1993.07.30,30-Jul-93,1993,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Pollock Beach, Port Elizabeth",Surfing,N,3733
2275,1993.03.27,27-Mar-93,1993,Unprovoked,BRAZIL,Pernambuco,Paiva,Surfing,N,3719
2287,1993.01.02,02-Jan-93,1993,Unprovoked,USA,Oregon,"Bastendorf Beach, Coos County",Surfing,N,3707
2288,1993.00.00.d,Fall 1993,1993,Unprovoked,ANGOLA,West Africa,,Surfing,N,3706
2295,1992.11.25.a,25-Nov-92,1992,Unprovoked,USA,Florida,"Brevard County, a mile north of Sebastian Inlet",Surfing,N,3699
2296,1992.11.23,23-Nov-92,1992,Unprovoked,USA,Florida,,Surfing,N,3698
2300,1992.11.05.b,06-Nov-92,1992,Unprovoked,USA,Florida,"North Jetty Park, Fort Pierce, St Lucie County",Surfing,N,3694
2303,1992.10.22,22-Oct-92,1992,Unprovoked,USA,Hawaii,"Lanaikea, O'ahu",Surfing,N,3691
2306,1992.10.01,01-Oct-92,1992,Unprovoked,AUSTRALIA,Queensland,"North Point Beach, Moreton Island",Surfing,Y,3688
2308,1992.09.13,13-Sep-92,1992,Unprovoked,USA,Oregon,"Gold Beach, Curry County",Surfing,N,3686
2313,1992.08.25,25-Aug-92,1992,Unprovoked,AUSTRALIA,South Australia,"Lipson Cove, Tumby Bay",Surfing,N,3681
2315,1992.08.18,18-Aug-92,1992,Unprovoked,USA,California,"Klamath River, Del Norte County",Surfing,N,3679
2320,1992.07.08.b,08-Jul-92,1992,Unprovoked,BRAZIL,Maranh�o,"Praia da Marcela, S�o Marcos Bay",Surfing,N,3674
2321,1992.07.08.a,08-Jul-92,1992,Unprovoked,BRAZIL,Maranh�o,"Praia da Marcela, S�o Marcos Bay",Surfing,N,3673
2323,1992.06.28.a,28-Jun-92,1992,Unprovoked,REUNION,Saint-Paul,Cap de la Marianne,Surfing,Y,3671
2328,1992.05.22,22-May-92,1992,Unprovoked,REUNION,Saint-Joseph,Lieu-dit Cayenne,Surfing,Y,3666
2331,1992.04.09,09-Apr-92,1992,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Nahoon,Surfing,N,3663
2333,1992.03.10,10-Mar-92,1992,Unprovoked,AUSTRALIA,Victoria,Point Lonsdale,Surfing,N,3661
2339,1992.02.09,09-Feb-92,1992,Invalid,AUSTRALIA,Tasmania,"Clifton Beach, southwest of Hobart",Surfing,N,3655
2354,1991.10.12,12-Oct-91,1991,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Surfing,N,3640
2355,1991.10.05,05-Oct-91,1991,Unprovoked,USA,California,"Horseshoe Reef, Scott Creek, Davenport, Santa Cruz County",Surfing,N,3639
2366,1991.07.01.b,01-Jul-91,1991,Unprovoked,REUNION,L'Etang-Sal�,"Ravine des Sables, Saint Leu",Surfing,N,3628
2367,1991.07.01.a,01-Jul-91,1991,Unprovoked,USA,California,"8.5 miles south of Ano Nuevo State Reserve, Davenport County",Surfing,N,3627
2371,1991.06.26,26-Jun-91,1991,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",Surfing,N,3623
2381,1991.02.24,24-Feb-91,1991,Unprovoked,USA,Oregon,"Neskowin, Tillamook County",Surfing,N,3613
2389,1990.11.01,01-Nov-90,1990,Unprovoked,USA,Florida,"Spanish River Park Beach, Palm Beach County",Surfing,N,3605
2390,1990.10.30.b,30-Oct-90,1990,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Surfing,N,3604
2391,1990.10.30.a,30-Oct-90,1990,Unprovoked,USA,Florida,"Indialantic, Brevard County",Surfing,N,3603
2393,1990.10.25,25-Oct-90,1990,Unprovoked,AUSTRALIA,South Australia,Goolwa Beach,Surfing,N,3601
2394,1990.10.20,20-Oct-90,1990,Unprovoked,USA,Florida,"North end of County Beach, Palm Beach County",Surfing,N,3600
2395,1990.10.15,15-Oct-90,1990,Unprovoked,USA,Hawaii,"Hanalei Point, Kaua'i",Surfing,N,3599
2396,1990.10.12,12-Oct-90,1990,Unprovoked,USA,Florida,"Stuart Beach, Martin County",Surfing,N,3598
2401,1990.08.28,28-Aug-90,1990,Unprovoked,USA,California,"Trinidad Head, Humboldt County",Surfing,N,3593
2402,1990.08.19.b,19-Aug-90,1990,Unprovoked,USA,Texas,"Mustang Island, Nueces County",Surfing,N,3592
2405,1990.07.08,08-Jul-90,1990,Unprovoked,USA,Florida,"Perdido Key near the Florida Panhandle, Escambia County",Surfing,N,3589
2413,1990.04.09,09-Apr-90,1990,Unprovoked,AUSTRALIA,Queensland,Greenmount Beach,Surfing,N,3581
2415,1990.04.07,07-Apr-90,1990,Unprovoked,AUSTRALIA,Queensland,Fingal Beach,Surfing,N,3579
2416,1990.04.06,06-Apr-90,1990,Unprovoked,AUSTRALIA,Queensland,Fingal Beach,Surfing,N,3578
2419,1990.03.05,05-Mar-90,1990,Unprovoked,REUNION,Sainte-Marie,Baie de la Mare,Surfing,N,3575
2423,1990.00.00,1990,1990,Unprovoked,USA,Florida,"Pensacola, Escambia County",Surfing,UNKNOWN,3571
2427,1989.11.22,22-Nov-89,1989,Unprovoked,AUSTRALIA,Victoria,Kilcunda,Surfing,N,3567
2432,1989.10.22,22-Oct-89,1989,Unprovoked,AUSTRALIA,Tasmania,Shelly Point ,Surfing,N,3562
2434,1989.10.11,11-Oct-89,1989,Unprovoked,USA,Texas,Surfside Beach,Surfing,N,3560
2436,1989.10.01,01-Oct-89,1989,Unprovoked,AUSTRALIA,Victoria,"Surfers Point, Phillip Island",Surfing,UNKNOWN,3558
2441,1989.09.09.a,09-Sep-89,1989,Unprovoked,USA,North Carolina,"Salvo, Dare County",Surfing,N,3553
2445,1989.08.22.a,22-Aug-89,1989,Unprovoked,SOUTH AFRICA,Western Cape Province,Mossel Bay,Surfing,N,3549
2446,1989.08.13,13-Aug-89,1989,Unprovoked,AUSTRALIA,New South Wales,Lennox Head,Surfing,N,3548
2450,1989.07.20,20-Jul-89,1989,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Jeffreys Bay,Surfing,N,3544
2451,1989.07.19,19-Jul-89,1989,Unprovoked,REUNION,Sainte-Suzanne,Temple Tamoule,Surfing,Y,3543
2452,1989.07.14,14-Jul-89,1989,Unprovoked,USA,Florida,"Cocoa Beach, Brevard County",Surfing,N,3542
2457,1989.06.05,05-Jun-89,1989,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Jeffreys Bay,Surfing,N,3537
2465,1989.03.09,09-Mar-89,1989,Unprovoked,AUSTRALIA,South Australia,"Waitpinga Beach, near Victor Harbor, Encounter Bay",Surfing,Y,3529
2483,1988.10.22,22-Oct-88,1988,Unprovoked,AUSTRALIA,Victoria,Phillip Island,Surfing,N,3511
2484,1988.10.14,14-Oct-88,1988,Unprovoked,USA,Florida,"Boca Raton, Palm Beach County",Surfing,N,3510
2485,1988.10.11,11-Oct-88,1988,Unprovoked,USA,Florida,"Fort Pierce, St. Lucie County ",Surfing,N,3509
2486,1988.10.10,10-Oct-88,1988,Unprovoked,USA,Florida,"Playalinda, Brevard County",Surfing,N,3508
2487,1988.10.06,06-Oct-88,1988,Unprovoked,AUSTRALIA,South Australia,Moama Beach,Surfing,N,3507
2489,1988.09.28,28-Sep-88,1988,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,3505
2495,1988.08.11,11-Aug-88,1988,Unprovoked,USA,California,"Klamath River, Del Norte County",Surfing,N,3499
2507,1988.06.01,01-Jun-88,1988,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Surfing,N,3487
2509,1988.05.10,10-May-88,1988,Unprovoked,USA,Florida,"Paradise Beach Park, Brevard County",Surfing,N,3485
2512,1988.04.24,24-Apr-88,1988,Unprovoked,USA,California,"North of Morro Rock, San Luis Obispo County",Surfing,N,3482
2515,1988.04.14.b,14-Apr-88,1988,Unprovoked,USA,Florida,"Singer Island, Riviera Beach, Palm Beach County",Surfing,N,3479
2520,1988.03.16,16-Mar-88,1988,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Isipingo,Surfing,N,3474
2521,1988.03.14,14-Mar-88,1988,Unprovoked,REUNION,Saint-Pierre,Pic du Diable,Surfing,N,3473
2523,1988.02.14,14-Feb-88,1988,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Nahoon,Surfing,N,3471
2527,1988.01.27,27-Jan-88,1988,Invalid,SOUTH AFRICA,KwaZulu-Natal,Durban,Surfing,N,3467
2532,1988.00.00.c,1988,1988,Unprovoked,AUSTRALIA,New South Wales,Sydney,Surfing,N,3462
2534,1987.12.17,17-Dec-87,1987,Unprovoked,USA,Florida,"Palm Beach, Palm Beach County",Surfing,N,3460
2536,1987.11.21,21-Nov-87,1987,Unprovoked,USA,Florida,"North of Jupiter Inlet, Palm Beach County",Surfing,N,3458
2538,1987.10.26,26-Oct-87,1987,Unprovoked,USA,California,"Davenport Light, San Mateo County",Surfing,N,3456
2543,1987.09.13,13-Sep-87,1987,Unprovoked,SOUTH AFRICA,Western Cape Province,Still Bay,Surfing,N,3451
2546,1987.07.21,21-Jul-87,1987,Unprovoked,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,N,3448
2554,1987.05.08,08-May-87,1987,Unprovoked,USA,Florida,"St Augustine, St. Johns County",Surfing,N,3440
2560,1987.03.30.b,30-Mar-87,1987,Unprovoked,AUSTRALIA,Western Australia,Fourth Beach / Twilgth Beach,Surfing,N,3434
2570,1986.12.11,11-Dec-86,1986,Unprovoked,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,N,3424
2575,1986.11.30,30-Nov-86,1986,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Surfing,N,3419
2576,1986.11.19,19-Nov-86,1986,Unprovoked,USA,Florida,"Indiatlantic, Brevard County",Surfing,N,3418
2577,1986.11.04,04-Nov-86,1986,Unprovoked,USA,Florida,"Tiger Shores Beach, Martin County",Surfing,N,3417
2582,1986.10.00,Oct-86,1986,Unprovoked,USA,Florida,"Floridana Beach, Brevard County",Surfing,N,3412
2584,1986.09.00.b,Sep-86,1986,Unprovoked,USA,Florida,"Ormond Beach / Daytona Beach, Volusia County",Surfing,N,3410
2585,1986.09.00.a,Sep-86,1986,Unprovoked,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,N,3409
2586,1986.08.19,19-Aug-86,1986,Unprovoked,USA,North Carolina,"Masonboro Inlet, New Hanover County",Surfing,N,3408
2599,1986.03.05,05-Mar-86,1986,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"The Fence, King's Beach, Port Elizabeth",Surfing,N,3395
2600,1986.02.18,18-Feb-86,1986,Unprovoked,SOUTH AFRICA,Eastern Cape Province,East London,Surfing,N,3394
2601,1986.02.17,17-Feb-86,1986,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Cape Recife,Surfing,N,3393
2604,1986.02.01,01-Feb-86,1986,Unprovoked,AUSTRALIA,Victoria,Jan Juc Beach,Surfing,N,3390
2605,1986.01.12,12-Jan-86,1986,Unprovoked,USA,Florida,"Singer Island, Riviera Beach, Palm Beach County",Surfing,N,3389
2606,1986.00.00,1986,1986,Unprovoked,USA,California,"Linda Mar Beach, Pedro Point, San Mateo County",Surfing,N,3388
2607,1985.12.22,22-Dec-85,1985,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Garvies Beach,Surfing,N,3387
2625,1985.07.25.a,25-Jul-85,1985,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,3369
2631,1985.03.16,16-Mar-85,1985,Unprovoked,USA,Florida,"Palm Beach, Palm Beach County",Surfing,N,3363
2634,1985.02.03,03-Feb-85,1985,Unprovoked,USA,Florida,"15 miles north of Sebastian Inlet, Brevard County",Surfing,N,3360
2637,1985.01.17,17-Jan-85,1985,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Umbogintwini,Surfing,N,3357
2646,1984.11.11,11-Nov-84,1984,Unprovoked,USA,Florida,"Jupiter Island Beach, Martin County",Surfing,N,3348
2651,1984.10.14.a,14-Oct-84,1984,Unprovoked,USA,Florida,"Bob Graham Beach, Martin County",Surfing,N,3342
2654,1984.09.23,23-Sep-84,1984,Unprovoked,USA,Florida,Volusia County,Surfing,N,3339
2656,1984.09.22.a,22-Sep-84,1984,Unprovoked,USA,Florida,"Indiatlantic, Brevard County",Surfing,N,3337
2668,1984.06.15,15-Jun-84,1984,Unprovoked,SOUTH AFRICA,Western Cape Province,"Muizenberg, False Bay",Surfing,N,3325
2673,1984.03.14,14-Mar-84,1984,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Amanzimtoti,Surfing,N,3320
2683,1984.00.00.a,1984,1984,Unprovoked,USA,Florida,"Indiatlantic, Brevard County",Surfing,N,3310
2685,1983.12.25,25-Dec-83,1983,Unprovoked,USA,Florida,"Riviera Beach, Palm Beach County",Surfing,N,3308
2691,1983.11.10.R,Reported      10-Nov-1983,1983,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Surfing,N,3302
2693,1983.10.17.a,17-Oct-83,1983,Unprovoked,USA,Florida,"Stuart Beach, Martin County",Surfing,N,3300
2696,1983.08.20.b,20-Aug-83,1983,Unprovoked,USA,Oregon,"Cape Kiwanda,Tillamook County",Surfing,N,3297
2705,1983.07.15,15-Jul-83,1983,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Seal Point, Cape St. Francis",Surfing,N,3288
2716,1983.05.24,24-May-83,1983,Unprovoked,USA,Florida," Riviera Beach, Palm Beach County",Surfing,N,3277
2717,1983.05.21,21-May-83,1983,Unprovoked,USA,Florida,"Haulover Inlet, Dade County",Surfing,N,3276
2718,1983.04.19,19-Apr-83,1983,Unprovoked,USA,Florida,,Surfing,UNKNOWN,3275
